,Unnamed: 0,vacancy.id,vacancy.source,vacancy.region.region_code,vacancy.region.name,vacancy.company.ogrn,vacancy.company.site,vacancy.company.companycode,vacancy.company.hr-agency,vacancy.company.inn,vacancy.company.name,vacancy.company.kpp,vacancy.company.url,vacancy.creation-date,vacancy.salary,vacancy.salary_min,vacancy.job-name,vacancy.vac_url,vacancy.employment,vacancy.schedule,vacancy.duty,vacancy.category.specialisation,vacancy.requirement.education,vacancy.requirement.qualification,vacancy.requirement.experience,vacancy.addresses.address,vacancy.term.text,vacancy.currency,vacancy.salary_max,vacancy.company.phone,vacancy.company.email,vacancy.company.logo,vacancy.social_protected,vacancy.company.fax,vacancy.company.code_industry_branch,vacancy.category.industry
283,283,fe89a272-7e02-11ec-9bf6-bf2cfe8c828d,Служба занятости,300000000000,Республика Бурятия,1020300767739.0,,10079b50-77a3-11ea-91f9-736ab11edb0c,False,315001791.0,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКИНСКИЙ РАЙОН""",031501001,https://trudvsem.ru/company/10079b50-77a3-11ea-91f9-736ab11edb0c,2022-01-25,от 26626 до 30961,26626,Старший аналитик,https://trudvsem.ru/vacancy/card/10079b50-77a3-11ea-91f9-736ab11edb0c/fe89a272-7e02-11ec-9bf6-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Оказывать правовую помощь структурным подразделениям и общественным организациям в подготовке и оформлении правовых документов.

3.2. Принимать участие в подготовке обоснованных ответов при отклонении претензий к предприятию.

3.3. Разрабатывать или принимать участие в разработке документов правового характера.

3.4. Осуществлять методическое руководство правовой работой на предприятии.

3.5. Осуществлять подготовку совместно с другими подразделениями предприятия","Государственная служба, некоммерческие организации",Высшее,контрольно-правовой отдел<br/>Дисциплинированность<br/>Ответственность<br/>Коммуникабельность<br/>Пунктуальность,0,"[{'location': 'Республика Бурятия, 671030, с Орлик, р-н Окинский, ул Советская, д. 23', 'lng': '99.82057', 'lat': '52.507978'}]",Социальный пакет,«руб.»,30961,+7(30150)51164,admoka@mail.ru,,,,,
284,284,fea25a92-7e02-11ec-9bf6-bf2cfe8c828d,Служба занятости,300000000000,Республика Бурятия,1020300767739.0,,10079b50-77a3-11ea-91f9-736ab11edb0c,False,315001791.0,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКИНСКИЙ РАЙОН""",031501001,https://trudvsem.ru/company/10079b50-77a3-11ea-91f9-736ab11edb0c,2022-01-25,от 26626 до 30961,26626,Старший аналитик,https://trudvsem.ru/vacancy/card/10079b50-77a3-11ea-91f9-736ab11edb0c/fea25a92-7e02-11ec-9bf6-bf2cfe8c828d,Полная занятость,Полный рабочий день,"работа в сфере национальных проектов;
мониторинг, контроль и реализация национальных проектов;
формирование, реализация мероприятий стратегического планирования","Государственная служба, некоммерческие организации",Высшее,комитет экономики<br/>Коммуникабельность<br/>Ответственность<br/>Обучаемость<br/>Пунктуальность<br/>Дисциплинированность,0,"[{'location': 'Республика Бурятия, 671030, с Орлик, р-н Окинский, ул Советская, д. 23', 'lng': '99.82057', 'lat': '52.507978'}]",Социальный пакет,«руб.»,30961,+7(30150)51164,admoka@mail.ru,,,,,
285,285,fea67942-7e02-11ec-9bf6-bf2cfe8c828d,Служба занятости,300000000000,Республика Бурятия,1020300767739.0,,10079b50-77a3-11ea-91f9-736ab11edb0c,False,315001791.0,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКИНСКИЙ РАЙОН""",031501001,https://trudvsem.ru/company/10079b50-77a3-11ea-91f9-736ab11edb0c,2022-01-25,от 28845 до 33541,28845,Старший аналитик,https://trudvsem.ru/vacancy/card/10079b50-77a3-11ea-91f9-736ab11edb0c/fea67942-7e02-11ec-9bf6-bf2cfe8c828d,Полная занятость,Полный рабочий день,Координирует деятельность детских и молодежных объединений. Анализирует состояние и разрабатывает меры по организации досуга подростков и молодежи. Ведет работу с деструктивными детскими и молодежными неформальными объединениями,"Государственная служба, некоммерческие организации",Высшее,комитет по социальной политике<br/>Обучаемость<br/>Пунктуальность<br/>Ответственность<br/>Дисциплинированность,0,"[{'location': 'Республика Бурятия, 671030, с Орлик, р-н Окинский, ул Советская, д. 23', 'lng': '99.82057', 'lat': '52.507978'}]",Социальный пакет,«руб.»,33541,+7(30150)51164,admoka@mail.ru,,,,,
868,868,18498832-8e9b-11ec-8f42-bf2cfe8c828d,Служба занятости,5400000000000,Новосибирская область,1045401929847.0,,7ef5abd0-6c38-11eb-87da-e736a3d3ed84,False,5405276278.0,2ГИС,540401001,https://trudvsem.ru/company/7ef5abd0-6c38-11eb-87da-e736a3d3ed84,2022-03-05,от 40000 до 45000,40000,Старший аналитик высшей категории (класса),https://trudvsem.ru/vacancy/card/7ef5abd0-6c38-11eb-87da-e736a3d3ed84/18498832-8e9b-11ec-8f42-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Разбираться в данных и процессах, которые эти данные генерируют.
Писать сложные SQL-запросы.
Создавать и поддерживать ETL-процедуры, продумывать структуру промежуточного хранения данных.
Разрабатывать метрики.
Обрабатывать данные в Python или R.
Создавать и поддерживать дашборды.
Мониторить метрики и разбираться в причинах их падения или подозрительного роста.
Проводить анализ данных — выявлять корреляции, находить статистически обоснованные взаимосвязи, генерировать и проверять гипотезы в данных","Информационные технологии, телекоммуникации, связь",Высшее,Специалист по анализу данных<br/>Свободная работа с компьютером,3,"[{'location': 'Новосибирская область, 630048, г Новосибирск, пл Карла Маркса, д. 7, 13 этаж', 'lng': '82.897891', 'lat': '54.980394'}]","Социальный пакетБелая зарплата и ДМС
Трудоустройство по ТК РФ
Собственный учебный центр: курсы, тренинги и книги для прокачки скиллов
Льготы, бонусы и корпоративные скидки от партнеров компании
Дополнительные дни отпуска за стаж работы в компании",«руб.»,45000,,,,,,,
1693,1693,fe94ed12-7e02-11ec-9bf6-bf2cfe8c828d,Служба занятости,300000000000,Республика Бурятия,1020300767739.0,,10079b50-77a3-11ea-91f9-736ab11edb0c,False,315001791.0,"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""ОКИНСКИЙ РАЙОН""",031501001,https://trudvsem.ru/company/10079b50-77a3-11ea-91f9-736ab11edb0c,2022-01-25,от 26626 до 30961,26626,Старший аналитик,https://trudvsem.ru/vacancy/card/10079b50-77a3-11ea-91f9-736ab11edb0c/fe94ed12-7e02-11ec-9bf6-bf2cfe8c828d,Полная занятость,Полный рабочий день,"1.проводит работу по сбору, обработке оперативной информации предприятий агропромышленного комплекса муниципального района;

2.оказывает методическую и организационную помощь сельскохозяйственным предприятиям муниципального района;

3.проводит и участвует в семинарах, конкурсах, ярмарках, совещаниях по вопросам, касающихся работы отдела;

4.систематически ведет оперативный учет хода производственного процесса сельскохозяйственных предприятий;

5.взаимодействует с органами исполнительной власти , поселений,  общественными и другими организациями по вопросам развития и поддержки предприятий и организаций","Государственная служба, некоммерческие организации",Высшее,управление сельского хозяйства<br/>Обучаемость<br/>Пунктуальность<br/>Дисциплинированность<br/>Коммуникабельность<br/>Ответственность,0,"[{'location': 'Республика Бурятия, 671030, с Орлик, р-н Окинский, ул Советская, д. 23', 'lng': '99.82057', 'lat': '52.507978'}]",Социальный пакет,«руб.»,30961,+7(30150)51164,admoka@mail.ru,,,,,
2358,2358,17b6ba65-8fd5-11ec-a92f-57fc951f3846,Работодатель,7700000000000,г. Москва,1195081045433.0,,1195081045433,False,5018200560.0,"ГКУ МО ""МОСОБЛЭКОМОНИТОРИНГ""",773401001,https://trudvsem.ru/company/1195081045433,2022-02-17,от 43000 до 47000,43000,аналитик (эколог),https://trudvsem.ru/vacancy/card/1195081045433/17b6ba65-8fd5-11ec-a92f-57fc951f3846,Полная занятость,Гибкий график,"<p>&nbsp; Работа в передвижной экологической лаборатории на территории Московской области (круглосуточная служба) &nbsp; &nbsp; &nbsp;</p>
<p><!--[endif]-->- непосредственное участие в рейдах передвижной экологической лаборатории;</p>
<p><!-- [if !supportLists]-->- осуществление прямых измерений физических факторов и параметров атмосферного воздуха с применением автоматических газоанализаторов (хемолюминесцентный, оптико-абсорбционный, флуоресцентный, пламенно-ионизационный методы);</p>
<p><!-- [if !supportLists]-->- осуществление отбора проб (образцов) объектов окружающей среды: атмосферного воздуха, воды, донных отложений, почвы, грунтов, а также отходов.</p>
<p><!-- [if !supportLists]-->- проведение расчетов по исследованиям (испытаниям) и измерениям, анализ полученных результатов, их систематизация, оформление протоколов измерений уровня загрязнения атмосферного воздуха и уровней шума. Ведение рабочих журналов, папок и различных баз данных.</p>
<p></p>","Государственная служба, некоммерческие организации",Высшее,,0,"[{'location': 'г. Москва, Кулакова улица, дом: ДОМ 20;корпус: СТРОЕНИЕ 1А;офис/квартира: ПОМ VII ЭТ 1 КОМ 15;'}]",,«руб.»,47000,+7(908)2214080,moem_info@mosreg.ru,,,,,
2364,2364,bc1d4402-3c44-11ec-b525-bf2cfe8c828d,Работодатель,6100000000000,Ростовская область,1126183001449.0,,1126183001449,False,6103016652.0,"Муниципальное автономное учреждение ""Многофункциональный центр предоставления государственных и муниципальных услуг ""Багаевского района",610301001,https://trudvsem.ru/company/1126183001449,2022-03-01,от 19356 до 19356,19356,Главный аналитик,https://trudvsem.ru/vacancy/card/1126183001449/bc1d4402-3c44-11ec-b525-bf2cfe8c828d,Полная занятость,Неполный рабочий день,"соблюдение правил пожарной безопасности, охраны труда, распорядка трудового дня","Государственная служба, некоммерческие организации",Высшее,"Главный Аналитик (0,8 ставки, 32-часовая рабочая неделя)<br/>Ответственность<br/>Инициативность",1,"[{'location': 'Ростовская область, 346611, ст-ца Багаевская, р-н Багаевский, ул Комсомольская, д. 35""б""'}]",Социальный пакет,«руб.»,19356,+7(905)4866666,vsop81@icloud.com,https://trudvsem.ru/image/00c359b0-62c5-11e5-a7c5-833b590698f7,,,,
2532,2532,20ee25a5-9c69-11ec-8d7d-57fc951f3846,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 30000,30000,Системный аналитик,https://trudvsem.ru/vacancy/card/1121600006142/20ee25a5-9c69-11ec-8d7d-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>сбор и анализ бизнес-требований;</li>
<li>детальная аналитическая проработка решения;</li>
<li>анализ внутренних и внешних источников на предмет наличия требуемых данных;</li>
<li>постановка задач разработчикам;</li>
<li>прототипирование структур данных и отчетов;</li>
<li>взаимодействие с разработчиками, аналитиками, тестировщиками внутри команды и представителями бизнес-подразделений;</li>
<li>ведение базы знаний в части описания объектов хранилища и объектов смежных систем.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<ul>
<li>Оформление по ТК РФ</li>
<li>График работы с 9 до 18</li>
<li>Оборудованное рабочее место, либо работа на удаленке</li>
<li>Бесплатный трансфер Казань-Иннополис-Казань</li>
<li>Отсутствие дресс-кода</li>
</ul>
<p></p>
<p>Но это еще не все!</p>
<p></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.</strong>&nbsp;ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.</strong>&nbsp;Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",2,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2550,2550,6106e895-9c67-11ec-b31b-550ed7335bbe,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 45000,45000,Бизнес-аналитик проектов в области Data science,https://trudvsem.ru/vacancy/card/1121600006142/6106e895-9c67-11ec-b31b-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>Сбор, анализ, формализация, документирование и согласование требований от Заказчика в проектах с использованием технологий искусственного интеллекта;</li>
<li>Исследование технологических направлений ​и бизнес-процессов организаций различных отраслей при реализации проектов на основе технологий машинного обучения, компьютерного зрения, анализа естественного языка и др;</li>
<li>Подготовка технических требований, технических заданий и другой документации;</li>
<li>Подготовка заявок на научно-технические гранты;</li>
<li>Участие в пресейле с целью уточнения потребностей заказчика;</li>
<li>Ведение внутренней проектной документации (спецификации требований, варианты использования, концепции и др.),формирование базы знаний проекта (Wiki);</li>
<li>Участие в сдаче-приемке работ заказчику.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<ul>
<li>Оформление по ТК РФ;</li>
<li>График работы с 9 до 18;</li>
<li>Оборудованное рабочее место;</li>
<li>Бесплатный трансфер Казань-Иннополис-Казань;</li>
<li>Отсутствие дресс-кода.</li>
</ul>
<p><strong>Но это еще не все!</strong></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.&nbsp;</strong>ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.&nbsp;</strong>Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",3,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
3021,3021,47948f36-a38c-11ec-b30d-4febb26dc4ec,Работодатель,6600000000000,Свердловская область,1156658049613.0,,1156658049613,False,6670349912.0,"ООО ""СОФТ-ГОРИЗОНТ""",667001001,https://trudvsem.ru/company/1156658049613,2022-03-14,от 80000 до 120000,80000,Бизнес-аналитик (системный аналитик),https://trudvsem.ru/vacancy/card/1156658049613/47948f36-a38c-11ec-b30d-4febb26dc4ec,Полная занятость,Полный рабочий день,"<ul>
<li>Сбор, выявление требований от заказчиков и смежных продуктов информационных технологий, описание бизнес-процессов.</li>
<li>Проектирование решений информационных технологий, разработка технических заданий, согласование решений с заказчиком и представителями смежных продуктов инфлормационных технологий.</li>
<li>Формирование требований к интеграциям между системами и передаваемым данным.</li>
<li>Постановка задач разработчикам продуктовых команд.</li>
<li>Приемка результата разработки (приемочное функциональное тестирование).</li>
<li>Ведение различных видов документации (техническое задание, эскизный/ технический проект, проектная и рабочая документация)</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,3,"[{'location': 'Свердловская область, г. Екатеринбург, Комвузовская улица, корпус: СТРОЕНИЕ 9А;офис/квартира: ОФИС 208;, ОБЛАСТЬ СВЕРДЛОВСКАЯ, Г. ЕКАТЕРИНБУРГ, УЛ. КОМВУЗОВСКАЯ, СТР. 9А, ОФИС 208', 'lng': '60.662773', 'lat': '56.8537'}]",,«руб.»,120000,+7(912)2429002,alimpiev@soft-gorizont.ru,,,,,
3402,3402,d6ac92c6-14de-11e9-855e-ef76bd2a03c1,Работодатель,6300000000000,Самарская область,1146315001832.0,,1146315001832,False,6315856597.0,"ГКУ СО ""УМФЦ""",631601001,https://trudvsem.ru/company/1146315001832,2019-01-10,до 40000,0,Главный аналитик,https://trudvsem.ru/vacancy/card/1146315001832/d6ac92c6-14de-11e9-855e-ef76bd2a03c1,Полная занятость,Полный рабочий день,"<p><strong>- </strong>подготовка проектов соглашений с органами власти для организации&nbsp; предоставления государственных и муниципальных услуг в МФЦ Самарской области;</p>
<p>- организация оказания государственных и муниципальных услуг в ГКУ СО ""УМФЦ""</p>
<p>- осуществление контроля качества оказания услуг и сервисов в Учреждении;</p>
<p></p>
<p><strong>- </strong>изучение, анализ, и мониторинг законодательной, нормативно-правовой базы, касающейся деятельности МФЦ;</p>
<p>- оказание консультационной и методической помощи работникам МФЦ Самарской области по вопросам оказания государственных и муниципальных услуг в сфере социальной поддержки населения</p>","Государственная служба, некоммерческие организации",,,3,"[{'location': 'Самарская область, г. Самара, Третья просека, 250', 'lng': '50.180044', 'lat': '53.233764'}]",,«руб.»,40000,8(846)2000679,,,,,,
3637,3637,7b413286-7dac-11ec-b3f6-550ed7335bbe,Работодатель,5100000000000,Мурманская область,1165190061190.0,https://cit.gov-murman.ru,1165190061190,False,5190064320.0,"ГОБУ ""ЦИТ МО""",519001001,https://trudvsem.ru/company/1165190061190,2022-01-25,от 65000,65000,Ведущий аналитик отдела отраслевой цифровизации,https://trudvsem.ru/vacancy/card/1165190061190/7b413286-7dac-11ec-b3f6-550ed7335bbe,Полная занятость,Полный рабочий день,"<p>Техническая поддержка процессов создания/модификации и сопровождения ИС, автоматизирующих задачи организационного управления и бизнес-процессы (сбор данных и выявление требований к ИС, тестирование функциональных возможностей ИС, интеграционное тестирование, инженерно-техническая поддержка заключения договоров на создание/модификацию и сопровождение ИС).</p>
<p>Управление работами по созданию/модификации и сопровождению информационных ресурсов (сбор, анализ и выявление требований к ИР, проектирование и тестирование ИР, организация работ по интеграционному тестированию ИР с внешними ИС).</p>","Информационные технологии, телекоммуникации, связь",Высшее,,1,"[{'location': 'Мурманская область, г. Мурманск, Софьи Перовской улица, 5', 'lng': '33.082455', 'lat': '68.968649'}]","Ежегодный оплачиваемый отпуск 52 дня, оплата проезда к месту проведения отпуска и обратно 1 раз в 2 года",«руб.»,0,+7(921)2708876,cit@gov-murman.ru,https://trudvsem.ru/image/d5c11a30-880c-11ec-a92f-57fc951f3846,,,,
4064,4064,6d206885-b559-11ec-a483-4febb26dc4ec,Работодатель,2700000000000,Хабаровский край,1032700295583.0,,1032700295583,False,2721031150.0,УМВД РОССИИ ПО ХАБАРОВСКОМУ КРАЮ,272101001,https://trudvsem.ru/company/1032700295583,2022-04-06,от 25000 до 30000,25000,аналитик,https://trudvsem.ru/vacancy/card/1032700295583/6d206885-b559-11ec-a483-4febb26dc4ec,Полная занятость,Полный рабочий день,"<p>Осуществляет проведение анализа и прогнозирование миграционной обстановки в крае, готовит информационно-аналитические и справочные материалы, контролирует выполнение поручений.</p>","Государственная служба, некоммерческие организации",Высшее,,0,"[{'location': 'Хабаровский край, г. Хабаровск, Дзержинского улица, 46, Ближайшая остановка общественного транспорта к офису: автобус, троллейбус: ""театр Драмы"", ""Совкино"", ""ГОСБАНК"", трамвай _""ул. М. Амурского"". К месту стоянки автотранспорта: ""Знамёщикова"", автобус №№ 1 (1с, 1 л), 23, 117, маршрутка № 61 (61с, 61к), 71 ', 'lng': '135.06558', 'lat': '48.478497'}]",,«руб.»,30000,,odir27@mvd.ru,,,,,
4101,4101,22322a75-9a10-11ec-8543-4febb26dc4ec,Работодатель,6300000000000,Самарская область,1106330001271.0,http://www.pegas-agro.ru,8497a4b0-ffa8-11e9-8d3e-e37b4be0b9ed,False,6330041285.0,"ООО ""Пегас-Агро""",633001001,https://trudvsem.ru/company/8497a4b0-ffa8-11e9-8d3e-e37b4be0b9ed,2022-03-02,,0,Бизнес-аналитик,https://trudvsem.ru/vacancy/card/8497a4b0-ffa8-11e9-8d3e-e37b4be0b9ed/22322a75-9a10-11ec-8543-4febb26dc4ec,Полная занятость,Полный рабочий день,,"Информационные технологии, телекоммуникации, связь",,,3,"[{'location': 'Самарская область, Волжский район, Стройкерамика поселок городского типа, тер. Животноводческая ферма', 'lng': '50.39343', 'lat': '53.270367'}]",,«руб.»,0,,,,,,,
4301,4301,a7771385-8a48-11ec-aae7-550ed7335bbe,Работодатель,3500000000000,Вологодская область,1163525098164.0,,1163525098164,False,3525387000.0,"Общество с ограниченной ответственностью ""ПиццаФабрика Вологда""",352501001,https://trudvsem.ru/company/1163525098164,2022-02-10,от 18112 до 18112,18112,Тестировщик-аналитик,https://trudvsem.ru/vacancy/card/1163525098164/a7771385-8a48-11ec-aae7-550ed7335bbe,Частичная занятость,Неполный рабочий день,"<ul>
<li>Проведение анализа и описание пользовательских сценариев</li>
<li>Формулирование требований и задач с учетом специфики мобильных платформ Android и iOS</li>
<li>Ручное тестирование на разных мобильных платформах</li>
<li>Оформление задач и багов в системе</li>
<li>Написание и поддержка тестовой документации</li>
<li>Формирование отчетов о результатах тестирования</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,1,"[{'location': 'Вологодская область, г. Вологда, Зосимовская улица, 47', 'lng': '39.900775', 'lat': '59.215679'}]",,«руб.»,18112,+7(8172)266049,paranichevaes@mail.com,,,,,
5212,5212,847a6640-581e-11ec-8173-550ed7335bbe,Работодатель,7400000000000,Челябинская область,1037403866840.0,,1037403866840,False,7453097515.0,"ООО ФИРМА ""ИНТЕРСВЯЗЬ""",744801001,https://trudvsem.ru/company/1037403866840,2021-12-08,от 40000,40000,Маркетолог-аналитик отдела продуктовой аналитики,https://trudvsem.ru/vacancy/card/1037403866840/847a6640-581e-11ec-8173-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>Разработка, составление и утверждение планов продвижения продукта. Разработка рекламных стратегий, медиапланирование</li>
<li>Развитие продуктов компании за счет оценки эффективности проектов и построения бизнес-выводов, тестирование продуктовых гипотез по hadi вместе с командой</li>
<li>Сегментирование аудитории, разработка уникальных посылов для разных сегментов, CustDev-клиентов</li>
<li>Мониторинг и анализ активности конкурентов, изучение и оценка рынка</li>
<li>Построение моделей привлечения и удержания аудитории: увеличение количества посетителей/подписчиков</li>
<li>Анализ трафика, оптимизация рекламных кампаний, каналов привлечения аудитории, оценка эффективности рекламных каналов&nbsp;</li>
<li>Увеличение узнаваемости наших продуктов</li>
<li>Управление запуском новых возможностей: формулировать ценностное предложение, создавать маркетинговые и PR-коммуникации, оценивать риски и отвечать за качество выпускаемых материалов, отслеживать результаты</li>
<li>Анализ CJ и оптимизация воронки конверсии по всем этапам</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<ul>
<li>Полный рабочий день (40 часов в неделю), возможен гибкий график и совмещение с учебой (старшие курсы).</li>
<li>Мы предоставляем:</li>
<li>Рабочее место в современном офисе на Северо-западе Челябинска.</li>
<li>Достойная оплата труда.</li>
<li>Официальное трудоустройство по ТК РФ.</li>
<li>Возможность саморазвития (прохождение дополнительного обучения, курсы английского языка, покупка проф. литературы, поездки на конференции и семинары, летние/зимние школы).</li>
<li>Компенсация интернета, мобильной связи, оплата тренажёрного зала.</li>
</ul>",0,"[{'location': 'Челябинская область, г. Челябинск, Победы проспект, дом: ДОМ 288;офис/квартира: ОФИС 702;, С бумажными направлениями из Службы занятости населения обращаться: г. Челябинск, Комсомольский проспект, 38Б, пристрой, каб. 4. Строго с 10.00 до 11.00 часов с понедельника по пятницу.', 'lng': '61.375227', 'lat': '55.183842'}]",,«руб.»,0,+7(351)2250306,PERSONAL@IS74.RU,https://trudvsem.ru/image/30328d20-7e9c-11ec-b264-550ed7335bbe,,,,
