,Unnamed: 0,vacancy.id,vacancy.source,vacancy.region.region_code,vacancy.region.name,vacancy.company.ogrn,vacancy.company.site,vacancy.company.companycode,vacancy.company.hr-agency,vacancy.company.inn,vacancy.company.name,vacancy.company.kpp,vacancy.company.url,vacancy.creation-date,vacancy.salary,vacancy.salary_min,vacancy.job-name,vacancy.vac_url,vacancy.employment,vacancy.schedule,vacancy.duty,vacancy.category.specialisation,vacancy.requirement.education,vacancy.requirement.qualification,vacancy.requirement.experience,vacancy.addresses.address,vacancy.term.text,vacancy.currency,vacancy.salary_max,vacancy.company.phone,vacancy.company.email,vacancy.company.logo,vacancy.social_protected,vacancy.company.fax,vacancy.company.code_industry_branch,vacancy.category.industry
2158,2158,036e8f65-b19a-11ec-ac55-57fc951f3846,Работодатель,7700000000000,г. Москва,1147799015231.0,http://ири.рф/,1147799015231,False,7709473987.0,"АНО ""ИРИ""",770801001,https://trudvsem.ru/company/1147799015231,2022-04-01,до 280000,0,Frontend-разработчик,https://trudvsem.ru/vacancy/card/1147799015231/036e8f65-b19a-11ec-ac55-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>
<p>Участие в разработке новых проектов;</p>
</li>
<li>
<p>Разработка нового функционала (доработка и оптимизация), поддержка существующих систем;</p>
</li>
<li>
<p>Участие в проектировании архитектурных решений;</p>
</li>
<li>
<p>Разработка решений в команде;</p>
</li>
<li>
<p>Активное участие в планировании спринтов;</p>
</li>
<li>
<p>Взаимодействие с другими членами команды, проведение ревью пул-реквестов от других разработчиков.</p>
</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,3,"[{'location': 'г. Москва, Мясницкая улица, дом: Д. 13;корпус: СТР. 1;', 'lng': '37.628595', 'lat': '55.760221'}]",,«руб.»,280000,,info@iri.center,,,,,
2528,2528,ca1250d2-5c80-11ec-b40f-bf2cfe8c828d,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-04,от 60000,60000,Исследователь-разработчик,https://trudvsem.ru/vacancy/card/1121600006142/ca1250d2-5c80-11ec-b40f-bf2cfe8c828d,Полная занятость,Полный рабочий день,"<ul>
<li>Разработка моделей на основе методов глубокого обучения;</li>
<li>Постановка экспериментов с моделями и группой врачей;</li>
<li>Документация;</li>
<li>Организация разметки данных, работа с domain экспертами;</li>
<li>Обработка данных;</li>
<li>Подготовка научных статей по результатам работы.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<ul>
<li>Оформление по ТК РФ;</li>
<li>График работы с 9 до 18;</li>
<li>Оборудованное рабочее место;</li>
<li>Бесплатный трансфер Казань-Иннополис-Казань;</li>
<li>Отсутствие дресс-кода.</li>
<li>Возможность работать из дома</li>
</ul>
<p><strong>Но это еще не все!</strong></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.&nbsp;</strong>ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.&nbsp;</strong>Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",3,"[{'location': 'Республика Татарстан, 420500, г Иннополис, р-н Верхнеуслонский, ул Университетская, д. 1', 'lng': '48.743261', 'lat': '55.753681'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2531,2531,395c95a5-9c6d-11ec-8d7d-57fc951f3846,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 45000,45000,Frontend-разработчик 3D,https://trudvsem.ru/vacancy/card/1121600006142/395c95a5-9c6d-11ec-8d7d-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>Разработка инструментов визуализации и работы с 3D данными;</li>
<li>Разработка графического интерфейса;</li>
<li>Написание модульных и интеграционных тестов;</li>
<li>Участие в процессах анализа и выбора общих и частных технических решений;</li>
<li>Участие в разработке проектной и программной документации;</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<p>Оформление по ТК РФ</p>
<p>- График работы с 9 до 18</p>
<p>- Оборудованное рабочее место</p>
<p>- Бесплатный трансфер Казань-Иннополис-Казань</p>
<p>- Отсутствие дресс-кода</p>
<p></p>
<p>Но это еще не все!</p>
<p></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.</strong>&nbsp;ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.</strong>&nbsp;Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",2,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2536,2536,09d21455-9c67-11ec-8d7d-57fc951f3846,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 40000,40000,Ведущий инженер-электроник (FPGA-разработчик),https://trudvsem.ru/vacancy/card/1121600006142/09d21455-9c67-11ec-8d7d-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>Разрабатывать синтезируемые блоки и их модели на HDL Verilog, System Verilog;</li>
<li>Проводить расчеты электрических схем;</li>
<li>Определять тепловые режимы работы элементов, подбирать элементную базу изделий;</li>
<li>Определять дополнительные требования к конструкции аппаратуры с целью защиты от электромагнитных и электростатических полей и помех;</li>
<li>Изучать и анализировать поступающую от других организаций документацию в целях ее использования в разрабатываемых изделиях;</li>
<li>Участвовать в монтаже, наладке, испытаниях и сдаче в эксплуатацию опытных образцов, в составлении заявок на изобретения и промышленные образцы, а также в работах по унификации изделий;</li>
<li>Знать и уметь работать с измерительной аппаратурой;</li>
<li>Разрабатывать конструкторскую документацию.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<p>Оформление по ТК РФ;</p>
<p>- График работы с 9 до 18;</p>
<p>- Оборудованное рабочее место;</p>
<p>- Бесплатный трансфер Казань-Иннополис-Казань;</p>
<p>- Отсутствие дресс-кода.</p>
<p></p>
<p>Но это еще не все!</p>
<p></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.</strong>&nbsp;ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.</strong>&nbsp;Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",5,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2539,2539,7f790a55-9c6d-11ec-b31b-550ed7335bbe,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 40000,40000,Back End разработчик,https://trudvsem.ru/vacancy/card/1121600006142/7f790a55-9c6d-11ec-b31b-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>Разработка веб сервисов;</li>
<li>Создание REST API;</li>
<li>Создание и работа с базами данных;</li>
<li>Интеграция с внешними API и сторонними сервисами;</li>
<li>Контейнеризация и развертывание на сервере;</li>
<li>Участие в командных встречах, демонстрациях и ретроспективах.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<p>Оформление по ТК РФ</p>
<p>- График работы с 9 до 18</p>
<p>- Оборудованное рабочее место</p>
<p>- Бесплатный трансфер Казань-Иннополис-Казань</p>
<p>- Отсутствие дресс-кода</p>
<p></p>
<p>Но это еще не все!</p>
<p></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.</strong>&nbsp;ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.</strong>&nbsp;Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",2,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2541,2541,14fe8885-9c68-11ec-a175-4febb26dc4ec,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 40000,40000,Python-разработчик,https://trudvsem.ru/vacancy/card/1121600006142/14fe8885-9c68-11ec-a175-4febb26dc4ec,Полная занятость,Полный рабочий день,"<ul>
<li>Проектировать и разрабатывать отказоустойчивые микро(или мололит) сервисы на базе Flask, Django или Apache Airflow;</li>
<li>Проектировать и писать DAG-и для Apache Airflow(не страшно, если не умеете);</li>
<li>Взаимодействовать с командами, занимающимися машинным обучением, для запуска моделей в продакшн (внедрение их моделей и подготовка кода для массовой нагрузки);</li>
<li>Оптимизировать, поддерживать качество кода и покрытие тестами, планировать и осуществлять рефакторинг;</li>
<li>Проводить и участвовать в кросс-код ревью участников команды;</li>
<li>Документировать проделанную работу, схемы взаимодействия, архитектуру.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<ul>
<li>Оформление по ТК РФ;</li>
<li>График работы с 9 до 18;</li>
<li>Оборудованное рабочее место;</li>
<li>Бесплатный трансфер Казань-Иннополис-Казань;</li>
<li>Отсутствие дресс-кода.</li>
</ul>
<p><strong>Но это еще не все!</strong></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.&nbsp;</strong>ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.&nbsp;</strong>Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",3,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2542,2542,132b0435-9c6c-11ec-8d7d-57fc951f3846,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 30000,30000,Java-разработчик,https://trudvsem.ru/vacancy/card/1121600006142/132b0435-9c6c-11ec-8d7d-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>Разработка RESTful web-api на языке Java 1.8+ (проектирование схемы БД, реализация миграций и реализация сервиса на языке Java);</li>
<li>Исправление ошибок и доработка функционала web-api;</li>
<li>Документирование web-api при помощи Swagger 2.9+.</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<p><strong>&nbsp;</strong>Оформление по ТК РФ</p>
<p>- Удаленный формат работы</p>
<p><strong>Здоровье.</strong>&nbsp;ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.</strong>&nbsp;Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",2,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2545,2545,d109f585-9c6a-11ec-8d7d-57fc951f3846,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 30000,30000,.Net разработчик,https://trudvsem.ru/vacancy/card/1121600006142/d109f585-9c6a-11ec-8d7d-57fc951f3846,Полная занятость,Полный рабочий день,"<ul>
<li>Разработка серверной части</li>
<li>Разработка высоконагруженных систем</li>
<li>Интеграция специализированных протоколов передачи данных</li>
<li>Участие в разработке архитектуры проекта</li>
<li>Проведением code-review.</li>
<li>Тестирование продукта</li>
<li>Разработка архитектуры серверной части</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<p><strong>Что мы готовы тебе предложить:</strong></p>
<ul>
<li>Оформление по ТК РФ</li>
<li>Удаленный формат работы</li>
</ul>
<p></p>
<p>Но это еще не все!</p>
<p></p>
<p><strong>Здоровье.</strong>&nbsp;ДМС по окончании испытательного спроса.</p>
<p><strong>Образование.</strong>&nbsp;Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",2,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2549,2549,f78d0ce5-9c6c-11ec-a175-4febb26dc4ec,Работодатель,1600000000000,Республика Татарстан,1121600006142.0,,1121600006142,False,1655258235.0,"АНО ВО ""УНИВЕРСИТЕТ ИННОПОЛИС""",161501001,https://trudvsem.ru/company/1121600006142,2022-03-05,от 45000,45000,Frontend-разработчик (Angular/React),https://trudvsem.ru/vacancy/card/1121600006142/f78d0ce5-9c6c-11ec-a175-4febb26dc4ec,Полная занятость,Полный рабочий день,"<ul>
<li>Разработка графического интерфейса;</li>
<li>Написание модульных и интеграционных тестов;</li>
<li>Участие в процессах анализа и выбора общих и частных технических решений;</li>
<li>Участие в разработке проектной и программной документации;</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,"<p>Оформление по ТК РФ</p>
<p>- График работы с 9 до 18</p>
<p>- Оборудованное рабочее место</p>
<p>- Бесплатный трансфер Казань-Иннополис-Казань</p>
<p>- Отсутствие дресс-кода</p>
<p></p>
<p>Но это еще не все!</p>
<p></p>
<p><strong>Фитнес.</strong>&nbsp;Корпоративная скидка на посещение самого крутого фитнес-клуба Иннополиса.</p>
<p><strong>Здоровье.</strong>&nbsp;ДМС по окончании испытательного срока.</p>
<p><strong>Образование.</strong>&nbsp;Доступ к интересным лекциям университета и корпоративной библиотеке.</p>",2,"[{'location': 'Республика Татарстан, г. Казань, Университетская улица, дом: ДОМ 1;', 'lng': '49.117445', 'lat': '55.786161'}]",,«руб.»,0,+7(967)3708157,director@innopolis.ru,,,,,
2749,2749,aa0e05b5-b403-11ec-a483-4febb26dc4ec,Работодатель,7800000000000,г. Санкт-Петербург,1157847225799.0,,1157847225799,False,7810359545.0,"ООО ""ФОРТИС""",781001001,https://trudvsem.ru/company/1157847225799,2022-04-04,,0,Ведущий бэкенд разработчик,https://trudvsem.ru/vacancy/card/1157847225799/aa0e05b5-b403-11ec-a483-4febb26dc4ec,Полная занятость,Полный рабочий день,"<p>Нам нужен опытный, решительный, знающий .NET разработчик, который не только сможет решать поставленные задачи, но и обогатит нашу команду своими знаниями, компетенциями и опытом. Мы ожидаем, что после того, как вы разберетесь в проекте, к вам будут приходить советоваться про то или иное решение, а вы будете вносить конкретные предложения по улучшению слабых мест существующего кода. В работе вам придется заниматься в основном бекендом, но бывает необходимость немного поправить простой фронтенд. Сложным фронтендом занимаются фронтенд-разработчики.</p>
<p>Мы не ожидаем знания глубин платформы .NET, не ждем перечисления наизусть аргументов функций и названий методов стандартной библиотеки и не будем гонять вас по алгоритмам построения красно-черного дерева.</p>","Информационные технологии, телекоммуникации, связь",,,0,"[{'location': 'г. Санкт-Петербург, Звездная улица, 1 литер А', 'lng': '30.345396', 'lat': '59.831679'}]",,«руб.»,0,+7(921)0928525,zhanna.zhigalova@monopoly.su,,,,,
