,Unnamed: 0,vacancy.id,vacancy.source,vacancy.region.region_code,vacancy.region.name,vacancy.company.ogrn,vacancy.company.site,vacancy.company.companycode,vacancy.company.hr-agency,vacancy.company.inn,vacancy.company.name,vacancy.company.kpp,vacancy.company.url,vacancy.creation-date,vacancy.salary,vacancy.salary_min,vacancy.job-name,vacancy.vac_url,vacancy.employment,vacancy.schedule,vacancy.duty,vacancy.category.specialisation,vacancy.requirement.education,vacancy.requirement.qualification,vacancy.requirement.experience,vacancy.addresses.address,vacancy.term.text,vacancy.currency,vacancy.salary_max,vacancy.company.phone,vacancy.company.email,vacancy.company.logo,vacancy.social_protected,vacancy.company.fax,vacancy.company.code_industry_branch,vacancy.category.industry
179,179,f2c5bb02-2c85-11ec-a785-bf2cfe8c828d,Служба занятости,2600000000000,Ставропольский край,1027739295781.0,,327c52a0-a37d-11eb-8bde-6db06c9eaf56,False,7714037217.0,"Ставропольский филиал Акционерного общества ""Издательский дом ""Комсомольская правда""",771401001,https://trudvsem.ru/company/327c52a0-a37d-11eb-8bde-6db06c9eaf56,2022-03-04,от 45000 до 55000,45000,Главный редактор 1 категории (класса),https://trudvsem.ru/vacancy/card/327c52a0-a37d-11eb-8bde-6db06c9eaf56/f2c5bb02-2c85-11ec-a785-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Разрабатывать стратегию развития радиостанции.  Создавать и внедрять новые эфирные проекты, в том числе мультимедийные для медиагруппы  «Комсомольская правда».  Анализировать конкурентную среду и положение станции на радиорынке, отчитываться о проделанной работе и рейтинге радиостанции.  Составлять эфирную сетку и ежедневный план работы сотрудников радио.  Разрабатывать рекламные и промо-кампании.  Выстраивать сотрудничество с другими СМИ и блогерами.  Проведение прямых эфиров с гостями радиостанции.  Ведение новостей.","Искусство, культура и развлечения",Высшее,Редактор Радио (радио)<br/>Ответственность<br/>Высоко квалифицированный специалист<br/>Коммуникабельность,3,"[{'location': 'Ставропольский край, 355037, г Ставрополь, ул Доваторцев, д. 30, корп. Б', 'lng': '41.937346', 'lat': '45.028298'}]",Социальный пакет,«руб.»,55000,+7(8652)951195,manager.stv@phkp.ru,,,,,
936,936,67d8b750-b2db-11eb-9dd6-bf2cfe8c828d,Служба занятости,6100000000000,Ростовская область,1026102223311.0,,1026102223311,False,6150024820.0,"Муниципальное унитарное предприятие редакция газеты ""Новочеркасские ведомости""",615001001,https://trudvsem.ru/company/1026102223311,2022-03-01,от 15000 до 15000,15000,Фотокорреспондент,https://trudvsem.ru/vacancy/card/1026102223311/67d8b750-b2db-11eb-9dd6-bf2cfe8c828d,Полная занятость,Ненормированный рабочий день,Выполнение полного объема работ в соответствии с требованиями должностной инструкции.,"Искусство, культура и развлечения",Среднее профессиональное,Фотограф. Опыт работы не менее 3-х лет.<br/>Коммуникабельность,3,"[{'location': 'Ростовская область, 346400, г Новочеркасск, ул Думенко, д. 10'}]",СтоловаяГрафик работы: ненормированный рабочий день.,«руб.»,15000,+7(8635)228285,nved@novoch.ru,,,,,
1254,1254,22749b22-4ee4-11ec-b40f-bf2cfe8c828d,Служба занятости,2500000000000,Приморский край,1022501024996.0,,1022501024996,False,2518001286.0,"Муниципальное автономное учреждение ""Редакция газеты ""Синегорье"" Лазовского муниципального округа Приморского края",251801001,https://trudvsem.ru/company/1022501024996,2022-01-28,от 23691,23691,Старший корреспондент,https://trudvsem.ru/vacancy/card/1022501024996/22749b22-4ee4-11ec-b40f-bf2cfe8c828d,Полная занятость,Ненормированный рабочий день,"Добросовестно выполнять свои должностные обязанности, соблюдать технику безопасности","Искусство, культура и развлечения",Среднее,Коммуникабельность,0,"[{'location': 'Приморский край, 692980, с Лазо, р-н Лазовский, ул Ключевая, д. 48', 'lng': '133.90928', 'lat': '43.38434'}]",Социальный пакет,«руб.»,0,+7(42377)20417,primsinegorye@yandex.ru,,,,,
1283,1283,9e661a92-96a3-11ec-8f42-bf2cfe8c828d,Служба занятости,100000000000,Республика Адыгея,1140105000023.0,,1140105000023,False,104014375.0,"Муниципальное автономное учреждение ""Редакция газеты ""Маяк""",010401001,https://trudvsem.ru/company/1140105000023,2022-02-26,от 15000 до 23000,15000,Ведущий фотокорреспондент 3 категории (класса),https://trudvsem.ru/vacancy/card/1140105000023/9e661a92-96a3-11ec-8f42-bf2cfe8c828d,Полная занятость,Полный рабочий день,"умение работать с социальными сетями, сайтами, писать тексты, делать фото","Искусство, культура и развлечения",Высшее,средства массовой информации<br/>Высоко квалифицированный специалист,1,"[{'location': 'Республика Адыгея, 385000, п Тульский, р-н Майкопский, ул Школьная, д. 24', 'lng': '40.180169', 'lat': '44.508119'}]",Социальный пакетвыезды на социально значимые мероприятия в Майкопском районе и Республике Адыгея,«руб.»,23000,+7(87777)51338,mayak@mail.ru,,,,,
1445,1445,bc254c65-aed9-11ec-9aad-bf2cfe8c828d,Служба занятости,5400000000000,Новосибирская область,1025404576647.0,,1025404576647,False,5438100760.0,"Государственное автономное учреждение Новосибирской области ""Редакция газеты ""Тогучинская газета""",543801001,https://trudvsem.ru/company/1025404576647,2022-03-28,от 25000 до 30000,25000,Ассистент оператора тележурналистского комплекта,https://trudvsem.ru/vacancy/card/1025404576647/bc254c65-aed9-11ec-9aad-bf2cfe8c828d,Полная занятость,Полный рабочий день,"соблюдать устав редакции, с которой он состоит в трудовых отношениях; 2) проверять достоверность сообщаемой им информации; 3) удовлетворять просьбы лиц, предоставивших информацию, об указании на ее источник, а также об авторизации цитируемого высказывания, если оно оглашается впервые.","Искусство, культура и развлечения",Высшее,Ответственность,0,"[{'location': 'Новосибирская область, 633456, г Тогучин, р-н Тогучинский, ул Садовая, д. 6', 'lng': '84.405381', 'lat': '55.24176'}]",Социальный пакет,«руб.»,30000,+7(838340)22363,kpa14@ngs.ru,,,,,
1888,1888,5eea2d82-487d-11ec-b525-bf2cfe8c828d,Служба занятости,7700000000000,г. Москва,1187700004315.0,https://герои-отечества.рус,1187700004315,False,9718091459.0,"Автономная Некоммерческая Организация Издательство ""Герои Отечества""",771801001,https://trudvsem.ru/company/1187700004315,2022-03-04,от 40000 до 50000,40000,Ведущий редактор художественный,https://trudvsem.ru/vacancy/card/1187700004315/5eea2d82-487d-11ec-b525-bf2cfe8c828d,Частичная занятость,Гибкий график,"Выполнение работ по подготовке книг к печати.
Осуществляет художественное редактирование и иллюстрирование изданий с целью обеспечения их высококачественного полиграфического исполнения.","Искусство, культура и развлечения",Высшее,Художественное редактирование,0,"[{'location': 'г. Москва, 107150, г. Москва, ул Бойцовая, д. 27, офис 220', 'lng': '37.724068', 'lat': '55.815934'}]",Инфраструктурная доступность,«руб.»,50000,+7(903)5096611,shmundjk@yandex.ru,,,,,
2059,2059,eb580866-8a4e-11ec-aae7-550ed7335bbe,Работодатель,5400000000000,Новосибирская область,1055475000844.0,http://www.libklv.ru/,1055475000844,False,5424400308.0,"МКУ ""КОЛЫВАНСКАЯ ЦБС""",542401001,https://trudvsem.ru/company/1055475000844,2022-02-10,от 17365 до 17365,17365,редактор 1 категории,https://trudvsem.ru/vacancy/card/1055475000844/eb580866-8a4e-11ec-aae7-550ed7335bbe,Полная занятость,Полный рабочий день,,"Искусство, культура и развлечения",Высшее,,0,"[{'location': 'Новосибирская область, Колыванский район, Колывань рабочий поселок, Советская улица, дом: 40;', 'lng': '82.742653', 'lat': '55.30521'}]",,«руб.»,17365,+7(983)3223150,kolyvan_bib@sibmail.ru,,Инвалиды,,,
2827,2827,ed216616-9899-11ec-92fd-550ed7335bbe,Работодатель,3100000000000,Белгородская область,1133100001132.0,,1133100001132,False,3123232423.0,"АНО ""ИД ""МИР БЕЛОГОРЬЯ""",312301001,https://trudvsem.ru/company/1133100001132,2022-02-28,от 20000 до 40000,20000,корреспондент,https://trudvsem.ru/vacancy/card/1133100001132/ed216616-9899-11ec-92fd-550ed7335bbe,Полная занятость,Полный рабочий день,"<ul>
<li>Подготовка обработанных материалов в формате публикации</li>
<li>Подготовка материала определенного жанра и тематики (очерки, статьи, аудио/видеосюжеты) для телевидения, радио, сетевого издания, печати и информационных лент</li>
<li>Представление материала ответственному (выпускающему) редактору для печати, эфира, размещения в сетевом издании</li>
</ul>","Информационные технологии, телекоммуникации, связь",Высшее,,0,"[{'location': 'Белгородская область, г. Белгород, Славы проспект, дом: 100;', 'lng': '36.575661', 'lat': '50.599822'}]",Материальная помощь к отпуску,«руб.»,40000,+7(904)5333836,marketing@belpressa.ru,,,,,
3843,3843,7fc1f702-b262-11ec-9aad-bf2cfe8c828d,Служба занятости,6900000000000,Тверская область,1096952022243.0,,1096952022243,False,6950108324.0,"Общество с ограниченной ответственностью ""Компания Тверьбест""",695001001,https://trudvsem.ru/company/1096952022243,2022-04-02,от 13890 до 13890,13890,Помощник руководителя и специалиста редактор,https://trudvsem.ru/vacancy/card/1096952022243/7fc1f702-b262-11ec-9aad-bf2cfe8c828d,Временная,Полный рабочий день,Должностные обязанности уточняются при обращении к работодателю,"Искусство, культура и развлечения",Среднее,Помощник редактора.<br/>Ответственность,0,"[{'location': 'Тверская область, 170040, г Тверь, пр-кт 50 лет Октября, д. 43', 'lng': '35.796193', 'lat': '56.843924'}]",Социальный пакетТрудоустройство по ТК РФ,«руб.»,13890,+7(910)5338780,tverbest@yandex.ru,,,,,
3936,3936,82c2dbe5-8247-11ec-ab76-550ed7335bbe,Работодатель,2400000000000,Красноярский край,1022400874484.0,,1022400874484,False,2419004279.0,"КГАУ ""Редакция газеты ""Знамя труда""",241901001,https://trudvsem.ru/company/1022400874484,2022-01-31,от 22224 до 22224,22224,корреспондент,https://trudvsem.ru/vacancy/card/1022400874484/82c2dbe5-8247-11ec-ab76-550ed7335bbe,Полная занятость,Полный рабочий день,"<p>&nbsp;Обеспечивает редакцию оперативной информацией и другими материалами, готовит собственные публикации.</p>
<p>&nbsp; Устанавливает по заданию редактора или собственной инициативе контакты с государственными органами, органами местного самоуправления, организациями для получения необходимой информации, своевременно информирует редакцию о предстоящих событиях.</p>","Информационные технологии, телекоммуникации, связь",,,0,"[{'location': 'Красноярский край, Каратузский район, Каратузское село, Колхозная улица, дом: 65;', 'lng': '92.869568', 'lat': '53.600704'}]",,«руб.»,22224,+7(908)3272482,karatuz@krasmail.ru,,,,,
