,Unnamed: 0,vacancy.id,vacancy.source,vacancy.region.region_code,vacancy.region.name,vacancy.company.ogrn,vacancy.company.site,vacancy.company.companycode,vacancy.company.hr-agency,vacancy.company.inn,vacancy.company.name,vacancy.company.kpp,vacancy.company.url,vacancy.creation-date,vacancy.salary,vacancy.salary_min,vacancy.job-name,vacancy.vac_url,vacancy.employment,vacancy.schedule,vacancy.duty,vacancy.category.specialisation,vacancy.requirement.education,vacancy.requirement.qualification,vacancy.requirement.experience,vacancy.addresses.address,vacancy.term.text,vacancy.currency,vacancy.salary_max,vacancy.company.phone,vacancy.company.email,vacancy.company.logo,vacancy.social_protected,vacancy.company.fax,vacancy.company.code_industry_branch,vacancy.category.industry
167,167,f1745712-7a3d-11ec-b378-bf2cfe8c828d,Служба занятости,6300000000000,Самарская область,1026303859944.0,ОТСУТСТВУЕТ,1026303859944,False,6377002644.0,Военный комиссариат Нефтегорского и Алексеевского районов Самарской области,637701001,https://trudvsem.ru/company/1026303859944,2022-01-27,от 15101 до 15101,15101,Старший помощник военный комиссар,https://trudvsem.ru/vacancy/card/1026303859944/f1745712-7a3d-11ec-b378-bf2cfe8c828d,Полная занятость,Полный рабочий день,"ДОЛЖНОСТНЫЕ ОБЯЗАННОСТИ, ПРЕДУСМОТРЕННЫЕ КВАЛИФИКАЦИОННЫМИ ХАРАКТЕРИСТИКАМИ ПО ЗАНИМАЕМОЙ ДОЛЖНОСТИ.","Безопасность, службы охраны",Высшее,Новое рабочее место<br/>Специалист<br/>Работа с компьютером,0,"[{'location': 'Самарская область, 446600, г Нефтегорск, р-н Нефтегорский, пр-кт Победы, д. 8', 'lng': '51.169161', 'lat': '52.796257'}]",Социальный пакет,«руб.»,15101,+7(84670)21340,otsutstvuet@ya.ru,,,+7(84670)21140,,
604,604,da1fe082-7b13-11ec-b378-bf2cfe8c828d,Служба занятости,6100000000000,Ростовская область,1036165004391.0,,1036165004391,False,6148007915.0,Военный Комиссариат города Красный Сулин и Красносулинского района Ростовской области,614801001,https://trudvsem.ru/company/1036165004391,2022-03-01,от 13890 до 13890,13890,Старший военный комиссар,https://trudvsem.ru/vacancy/card/1036165004391/da1fe082-7b13-11ec-b378-bf2cfe8c828d,Полная занятость,Полный рабочий день,"высшее образование., доплата к должностному окладу 30%                .","Безопасность, службы охраны",Высшее,старший помощник военного комиссара (11 186руб)<br/>Ответственность,0,"[{'location': 'Ростовская область, 346350, г Красный Сулин, р-н Красносулинский, ул Почтовая, д. 15'}]",Социальный пакет,«руб.»,13890,+78636752354,,,,,,
646,646,de2dcdb2-52fd-11ec-b40f-bf2cfe8c828d,Служба занятости,6900000000000,Тверская область,1026940512752.0,,1026940512752,False,6905004027.0,Военный комиссариат Тверской области  города Конаково и Конаковского района,690500101,https://trudvsem.ru/company/1026940512752,2022-03-10,от 14000,14000,Старший помощник военный комиссар,https://trudvsem.ru/vacancy/card/1026940512752/de2dcdb2-52fd-11ec-b40f-bf2cfe8c828d,Полная занятость,Полный рабочий день,Должностные обязанности  уточняются при обращении к работодателю.,"Безопасность, службы охраны",Высшее,программист (по АСУ)<br/>Инициативность<br/>Коммуникабельность<br/>Дисциплинированность<br/>Свободная работа с компьютером<br/>Ответственность,1,"[{'location': 'Тверская область, 171254, г Конаково, р-н Конаковский, ул Свободы, д. 132', 'lng': '36.764703', 'lat': '56.694558'}]","Социальный пакетДополнительные единовременные денежные выплаты по итогам года, надбавка за выслугу лет.",«руб.»,0,+7(48242)33642,konczn@mail.ru,,,,,
993,993,f8c6d512-935b-11ec-8f42-bf2cfe8c828d,Служба занятости,2300000000000,Краснодарский край,1022301621726.0,,1022301621726,False,2310032694.0,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ КРАСНОДАРСКОГО КРАЯ""",231001001,https://trudvsem.ru/company/1022301621726,2022-03-11,от 13890 до 16000,13890,Старший помощник военный комиссар,https://trudvsem.ru/vacancy/card/1022301621726/f8c6d512-935b-11ec-8f42-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Добросовестное выполнение должностных обязанностей, установленных работодателем","Безопасность, службы охраны",Высшее,"старший помощник военного комиссара по финансово-экономической, социальной и пенсионной работе<br/>Ответственность",1,"[{'location': 'Краснодарский край, 353800, ст-ца Полтавская, р-н Красноармейский, ул Садовая, д. 77'}]",Социальный пакет,«руб.»,16000,+7(86162)62892,vakansii@dgsz.krasnodar.ru,,,,,
994,994,f8d5c932-935b-11ec-8f42-bf2cfe8c828d,Служба занятости,2300000000000,Краснодарский край,1022301621726.0,,1022301621726,False,2310032694.0,"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ КРАСНОДАРСКОГО КРАЯ""",231001001,https://trudvsem.ru/company/1022301621726,2022-03-11,от 13890 до 16000,13890,Старший помощник военный комиссар,https://trudvsem.ru/vacancy/card/1022301621726/f8d5c932-935b-11ec-8f42-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Добросовестное выполнение должностных обязанностей, установленных работодателем","Безопасность, службы охраны",Среднее профессиональное,старший помощник военного комиссара<br/>Ответственность,1,"[{'location': 'Краснодарский край, 353800, ст-ца Полтавская, р-н Красноармейский, ул Садовая, д. 77'}]",Социальный пакет,«руб.»,16000,+7(86162)62892,vakansii@dgsz.krasnodar.ru,,,,,
1099,1099,11f5c7c2-93d5-11ec-8f42-bf2cfe8c828d,Служба занятости,7500000000000,Забайкальский край,1027501186569.0,,1027501186569,False,2722103016.0,Пункт отбора на военную службу по контракту Восточного военного округа,272201001,https://trudvsem.ru/company/1027501186569,2022-02-22,от 23613,23613,Помощник руководителя и специалиста военный комиссар,https://trudvsem.ru/vacancy/card/1027501186569/11f5c7c2-93d5-11ec-8f42-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Работа с документами (заполнение), встреча с представителями","Безопасность, службы охраны",Высшее,Помощник начальника отдела<br/>Ответственность,1,"[{'location': 'Забайкальский край, 673450, г Балей, р-н Балейский, ул Кирова, д. 20', 'lng': '116.64317', 'lat': '51.582071'}]",Социальный пакет,«руб.»,0,+7(3022)343986,povsk-chita@mail.ru,,,+7(3022)343986,,
1207,1207,ebfc96e2-7e47-11ec-9bf6-bf2cfe8c828d,Служба занятости,6100000000000,Ростовская область,1036165006020.0,,1036165006020,False,6165035768.0,Отдел военного комиссариата Ростовской области по Октябрьскому и Ворошиловскому районам города Ростова-на-Дону,616501001,https://trudvsem.ru/company/1036165006020,2022-03-03,от 18650 до 18650,18650,Старший помощник военный комиссар,https://trudvsem.ru/vacancy/card/1036165006020/ebfc96e2-7e47-11ec-9bf6-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Выполняет работу по осуществлению финансовой деятельности предприятия, направленной на обеспечение финансовыми ресурсами заданий производственного плана, формирование и распределение доходов и накоплений предприятия и их использование по обязательствам перед государственным бюджетом, налоговыми органами, банковскими учреждениями.","Безопасность, службы охраны",Высшее,"(по финансово- экономической работе). ЭКОНОМИСТ, ВПО, ответственность, дисциплинированность.<br/>Дисциплинированность<br/>Ответственность",0,"[{'location': 'Ростовская область, 344038, г Ростов-на-Дону, пл Ленина, д. 113/5'}]",Социальный пакетГрафик работы: c 8.30-17.30. З/пл + доп. по итогам работы выплач. премия. Можно без опыта работы.,«руб.»,18650,+7(863)2450031,rostov@czn-rostov.ru,,,,,
1513,1513,a2591f22-98f2-11ec-add7-bf2cfe8c828d,Служба занятости,5600000000000,Оренбургская область,1025600825205.0,,1025600825205,False,5607005993.0,"ФКУ ""Военный комиссариат Оренбургской области""",,https://trudvsem.ru/company/1025600825205,2022-03-05,от 18100,18100,Старший помощник военный комиссар,https://trudvsem.ru/vacancy/card/1025600825205/a2591f22-98f2-11ec-add7-bf2cfe8c828d,Полная занятость,Полный рабочий день,выполнение должностных обязанностей согласно должностной инструкции,"Безопасность, службы охраны",Высшее,Старший помощник военного комиссара; Организация и технология защиты информации<br/>Ответственность,0,"[{'location': 'Оренбургская область, 462353, г Новотроицк, ул Пушкина, д. 26', 'lng': '58.321144', 'lat': '51.197907'}]",Социальный пакетдополнительный оплачиваемый отпуск - 5дней.,«руб.»,0,+7(3537)670798,147@mail.ru,,,,,
1948,1948,7df84e55-82b1-11ec-ab76-550ed7335bbe,Работодатель,3300000000000,Владимирская область,1163328066880.0,,1163328066880,False,3328015437.0,Управление Федеральной службы войск национальной гвардии Российской Федерации Владимирской области (Управление Росгвардии по Владимирской области),332801001,https://trudvsem.ru/company/1163328066880,2022-01-31,от 27000 до 30000,27000,Музыкант военного оркестра,https://trudvsem.ru/vacancy/card/1163328066880/7df84e55-82b1-11ec-ab76-550ed7335bbe,Полная занятость,Полный рабочий день,<p>Исполнение музыкальных произведений в составе военного оркестра</p>,"Государственная служба, некоммерческие организации",Среднее профессиональное,,0,"[{'location': 'Владимирская область, г. Владимир, Суздальский проспект, 21б', 'lng': '40.456743', 'lat': '56.170846'}]",Ежегодная премия 20000,«руб.»,30000,+7(4922)778932,pot@vladimgcz.elcom.ru,,,,,
2444,2444,88629631-7edc-11ec-9bf6-bf2cfe8c828d,Служба занятости,5400000000000,Новосибирская область,1075464000688.0,,1075464000688,False,5425001426.0,Военный комиссариат Коченевского и Колыванского районов Новосибирской области,542501001,https://trudvsem.ru/company/1075464000688,2022-03-05,от 22000 до 22000,22000,Старший помощник военный комиссар,https://trudvsem.ru/vacancy/card/1075464000688/88629631-7edc-11ec-9bf6-bf2cfe8c828d,Полная занятость,Полный рабочий день,"Организация работы по защите информации.
 Постоянно организовывать информирование населения через органы местного самоуправления, службы трудоустройства и СМИ;
Участвовать в отборе кандидатов на военную службу по контракту и вызывать их на беседу;","Безопасность, службы охраны",Высшее,Работа с компьютером,0,"[{'location': 'Новосибирская область, 632640, рп Коченево, р-н Коченевский, ул Максима Горького, д. 202', 'lng': '82.208102', 'lat': '55.0278'}]",Социальный пакет,«руб.»,22000,+7(38351)23033,,,,,,
