vacancy.category.specialisation,"Безопасность, службы охраны","Государственная служба, некоммерческие организации","Информационные технологии, телекоммуникации, связь","Искусство, культура и развлечения"
Алтайский край,53.0,144.0,111.0,118.0
Амурская область,120.0,109.0,39.0,57.0
Архангельская область,43.0,96.0,56.0,52.0
Астраханская область,59.0,96.0,52.0,40.0
Белгородская область,43.0,42.0,49.0,83.0
Брянская область,59.0,34.0,52.0,61.0
Владимирская область,61.0,101.0,111.0,59.0
Волгоградская область,74.0,114.0,120.0,91.0
Вологодская область,54.0,163.0,188.0,94.0
Воронежская область,71.0,72.0,82.0,63.0
Еврейская автономная область,7.0,39.0,6.0,4.0
Забайкальский край,22.0,75.0,51.0,63.0
Ивановская область,44.0,153.0,94.0,89.0
Иркутская область,88.0,115.0,91.0,154.0
Кабардино-Балкарская Республика,4.0,,43.0,22.0
Калининградская область,28.0,102.0,53.0,57.0
Калужская область,54.0,103.0,86.0,40.0
Камчатский край,51.0,95.0,47.0,88.0
Карачаево-Черкесская Республика,2.0,6.0,8.0,21.0
Кемеровская область,74.0,67.0,121.0,121.0
Кировская область,36.0,130.0,70.0,65.0
Костромская область,35.0,39.0,51.0,38.0
Краснодарский край,102.0,111.0,208.0,332.0
Красноярский край,99.0,303.0,315.0,250.0
Курганская область,28.0,59.0,65.0,55.0
Курская область,26.0,35.0,49.0,42.0
Ленинградская область,58.0,78.0,73.0,49.0
Липецкая область,13.0,12.0,62.0,37.0
Магаданская область,23.0,95.0,18.0,28.0
Московская область,160.0,108.0,168.0,140.0
Мурманская область,73.0,66.0,44.0,73.0
Ненецкий автономный округ,,4.0,6.0,4.0
Нижегородская область,119.0,119.0,220.0,207.0
Новгородская область,25.0,56.0,29.0,30.0
Новосибирская область,56.0,99.0,190.0,153.0
Омская область,34.0,116.0,109.0,143.0
Оренбургская область,56.0,62.0,65.0,111.0
Орловская область,14.0,43.0,73.0,48.0
Пензенская область,23.0,57.0,38.0,51.0
Пермский край,216.0,217.0,133.0,106.0
Приморский край,117.0,180.0,181.0,100.0
Псковская область,36.0,68.0,40.0,49.0
Республика Адыгея,2.0,3.0,12.0,32.0
Республика Алтай,2.0,12.0,7.0,10.0
Республика Башкортостан,74.0,81.0,182.0,207.0
Республика Бурятия,45.0,105.0,50.0,35.0
Республика Дагестан,1.0,11.0,8.0,13.0
Республика Ингушетия,1.0,1.0,,2.0
Республика Калмыкия,3.0,4.0,5.0,12.0
Республика Карелия,13.0,24.0,54.0,44.0
Республика Коми,53.0,176.0,39.0,69.0
Республика Крым,116.0,184.0,81.0,183.0
Республика Марий Эл,27.0,54.0,67.0,98.0
Республика Мордовия,55.0,27.0,108.0,36.0
Республика Саха (Якутия),39.0,33.0,56.0,42.0
Республика Северная Осетия-Алания,132.0,10.0,112.0,20.0
Республика Татарстан,112.0,102.0,278.0,201.0
Республика Тыва,3.0,3.0,10.0,23.0
Республика Хакасия,15.0,31.0,11.0,31.0
Ростовская область,101.0,158.0,191.0,264.0
Рязанская область,27.0,59.0,65.0,57.0
Самарская область,136.0,123.0,262.0,247.0
Саратовская область,55.0,79.0,140.0,143.0
Сахалинская область,34.0,59.0,43.0,71.0
Свердловская область,251.0,406.0,236.0,195.0
Смоленская область,29.0,57.0,34.0,43.0
Ставропольский край,23.0,56.0,110.0,168.0
Тамбовская область,44.0,44.0,34.0,53.0
Тверская область,43.0,122.0,64.0,62.0
Томская область,52.0,72.0,80.0,61.0
Тульская область,32.0,42.0,96.0,92.0
Тюменская область,61.0,160.0,86.0,137.0
Удмуртская Республика,38.0,89.0,101.0,112.0
Ульяновская область,69.0,113.0,95.0,106.0
Хабаровский край,66.0,110.0,88.0,82.0
Ханты-Мансийский автономный округ - Югра,104.0,88.0,206.0,120.0
Челябинская область,191.0,250.0,220.0,147.0
Чеченская Республика,10.0,12.0,11.0,45.0
Чувашская Республика,42.0,187.0,80.0,106.0
Чукотский автономный округ,11.0,38.0,10.0,7.0
Ямало-Ненецкий автономный округ,43.0,35.0,94.0,121.0
Ярославская область,40.0,62.0,112.0,100.0
г. Байконур,1.0,4.0,5.0,9.0
г. Москва,126.0,100.0,864.0,153.0
г. Санкт-Петербург,212.0,234.0,509.0,135.0
г. Севастополь,18.0,22.0,27.0,37.0
