address.city,salary.to
Белгород,35000.0
Великий Новгород,56785.71428571428
Душанбе,100000.0
Иркутск,200000.0
Казань,65555.55555555556
Калуга,165384.61538461538
Комсомольск-на-Амуре,63294.117647058825
Королёв,
Костомукша,100000.0
Краснодар,59947.916666666664
Лесной,55000.0
Липецк,52550.0
Москва,112352.94117647059
Мурманск,
Мурманская область,266666.6666666667
Новосибирск,45785.71428571428
Омск,140000.0
Орёл,
Петрозаводск,76136.36363636363
Псков,64166.666666666664
Рязань,60000.0
Санкт-Петербург,58611.11111111111
Севастополь,
Северск,60714.28571428572
Смоленск,70000.0
Тамбов,
Томск,75000.0
Томский район,
Чебаркуль,
Челябинск,71363.63636363637
Челябинская область,
городской округ Домодедово,55000.0
городской округ Химки,55000.0
посёлок Приобский,67000.0
посёлок Социалистический,26000.0
посёлок городского типа Городищи,250000.0
посёлок городского типа Подгорный,57500.0
