,employer.name
Пункт отбора на военную службу по контракту по Челябинской области,398
1 рота 1 полк полиции ФГКУ УВО ВНГ России по городу Москве,326
Пункт отбора на военную службу по контракту по Калужской области,284
Пункт отбора на военную службу по контракту 3 разряда г. Кандалакша,103
ПОиКПиО ГУ МВД России по г. Москва 1 батальон,101
Пункт отбора на военную службу по контракту по Кемеровской области,100
Пункт отбора на военную службу по контракту по Краснодарскому краю,96
Войсковая часть 3450,93
Министерство внутренних дел по Республике Татарстан,88
Отряд пограничного контроля в международном аэропорту Шереметьево в Терминале E,84
Контрольно-пропускной пункт (Домодедово-1),70
Спецподразделение по г. Москва ПОиКПиО ГУ МВД России,58
Пункт отбора на военную службу по Камчатскому краю,57
ФКУ СИЗО-2 УФСИН России по г. Москве,50
"Пункт отбора на военную службу по контракту по Республике Коми, г. Сыктывкар",50
Пункт отбора на военную службу по контракту по г. Москва,48
Войсковая часть 3474,45
ФКУ ИК-13 УФСИН России по Саратовской области,43
1 ОБП УВО по ЦАО ФГКУ УВО ВНГ России по г. Москве,43
Отряд пограничного контроля в международном аэропорту Домодедово,40
ПУ ФСБ России по Новосибирской области,40
"Пункт отбора на военную службу по контракту по Хабаровскому краю, г. Комсомольск-на-Амуре",34
Пункт отбора на военную службу по контракту по Новгородской области,29
База Внуково Управления Материально-Технического Обеспечения Службы Хозяйственного Обеспечения Федеральной Службы Охраны Российской Федерации,29
Пункт отбора на военную службу по контракту 1-го разряда,27
Пункт отбора на военную службу по контракту по Иркутской области,25
6 отдел полиции УВД на Московском метрополитене ГУ МВД России по г. Москве,25
Пункт отбора на военную службу по контракту по Республике Карелия,24
Пункт отбора на военную службу по контракту по Липецкой области,20
Пункт отбора на военную службу по контракту по Санкт-Петербургу,19
Пункт отбора на военную службу по контракту по Белгородской области,18
Пункт отбора на военную службу по контракту по Псковской области,18
Пункт отбора на военную службу по контракту по Рязанской области,17
2 отдел полиции УВД на Московском Метрополитене,17
Войсковая часть 3481,16
Отряд пограничного контроля в международном аэропорту Шереметьево,16
Федеральная служба войск национальной гвардии Российской Федерации,15
Пункт отбора на военную службу по контракту по Кировской области,14
ОМОН Главного управления Росгвардии по г. Москве,13
"Пункт отбора на военную службу по контракту по Амурской области, г. Белогорск",12
ФКУ УК УФСИН России по Саратовской области,12
Пункт отбора на военную службу по контракту,11
ФКУ Пермская ВК ГУФСИН России по Пермскому краю,11
Пункт отбора на военную службу по контракту по Тамбовской области,11
Пункт отбора на военную службу по контракту (1разряда) г. Королев,11
1 СПП ГУ МВД РОССИИ по г. Москве (1 рота),9
УФССП России по Кемеровской области,8
ФКУ СИЗО-10 УФСИН России по Московской области,8
УМВД России по Красносельскому району г. Санкт-Петербурга,7
Отдел МВД России по району Царицыно города Москвы,7
ГБУ СО Многофункциональный центр предоставления государственных и муниципальных услуг,7
Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области,7
СНИИП,6
Войсковая часть 36045,6
Войсковая часть 3442,6
Межрайонная инспекция Федеральной налоговой службы № 7 по Санкт-Петербургу,5
Управление Федеральной службы войск национальной гвардии Российской Федерации по Смоленской области,5
Пункт отбора на военную службу по контракту по Томской области,5
Полк охраны и конвоирования подозреваемых и обвиняемых ГУ МВД России по г. Москве,5
Государственное бюджетное учреждение Ленинградской области Многофункциональный центр предоставления государственных и муниципальных услуг,5
УФССП России по Курской области,5
JCat.ru,5
ПОиКПиО ГУ МВД России по г. Москве (авторота 1 батальона Полка),5
Главное управление Федеральной службы судебных приставов по Москве,5
Пункт отбора на военную службу по контракту по Орловской области,4
Маркушин Илья Петрович,4
ФГКУ 1 ОФПС по Владимирской области,4
Управление Федеральной службы судебных приставов по Алтайскому краю,4
ФКУ ИК-2 УФСИН России по Ярославской области,4
Пункт отбора на военную службу по контракту по Владимирской области,4
ГКУ КК Краевой методический центр,4
ФГКУ Камчатский спасательный центр МЧС России,4
ФКУ ИК-10 УФСИН России по Саратовской области,4
УФССП России по Приморскому краю,3
ГУ МВД России по Кемеровской области,3
ФКУ ИК-14 ГУФСИН России по Иркутской области,3
ФКУ КП-6 УФСИН России по Вологодской области,3
Российские космические системы,3
Центр Гуманитарного Разминирования и Специальных Работ,3
Министерство транспорта и дорожной инфраструктуры Московской области,3
ОБ ДПС ГИБДД УМВД России по г. Н. Новгороду,3
ОМВД по району Коньково г.Москвы,3
Управление по обеспечению деятельности мировых судей Ставропольского края,3
Содействие детям,3
ФКУ УОУМТС МВД России,3
УМВД России по г.Костроме,3
Отдел МВД России по г.Бор,2
Государственная инспекция труда в Республике Татарстан,2
Войсковая часть 3469,2
Кочетков Альберт Викторович,2
Кудина Анна,2
ФКУ СИЗО-1 УФСИН России по Чувашской Республике-Чувашии,2
ФКУ ИК-7 УФСИН России по Тульской области,2
Пограничная служба ФСБ России в г. Томске,2
Администрация Новоусманского муниципального района Воронежской области,2
ФКУ ИК-5 УФСИН России по Самарской области,2
Межрайонная Инспекция Федеральной Налоговой Службы по Крупнейшим Налогоплательщикам № 11,2
Федеральная налоговая служба (ФНС России),2
УМВД России по Центральному району г. Санкт-Петербурга,2
УВД по СЗАО ГУ МВД России по г. Москве,2
Служба в г. Костомукше Пограничное управление ФСБ по Республике Карелия,2
Морин Михаил Андреевич,2
ФКУ ИК-28 УФСИН по Самарской области,2
Военный комиссариат городов Мытищи и Королёв Московской области,2
Войсковая часть 3275,2
ГБУ Московской области Центр Кадастровой Оценки,2
МУП Водоканал города Новороссийска,2
Власова Екатерина,2
Вавилова Наталья,2
Технологии Доверия,2
Приокское Межрегиональное Управление Федеральной Службы по Надзору в Сфере Природопользования,2
Управление Росгвардии по Брянской области,2
Отделение Пенсионного фонда Российской Федерации по Костромской области,2
ФКУ Исправительная колония № 5 Управления Федеральной службы исполнения наказаний по Чувашской Республике - Чувашии,2
Войска Национальной Гвардии,2
Департамент ЖКХЭиРТ,2
Пункт отбора на военную службу по контракту г. Архангельск,2
ФГКУ Специальное управление ФПС №35 МЧС России,2
Смирнов Андрей Андреевич,1
2 ОБП УВО по ЦАО ФГКУ УВО ВНГ России по городу Москве,1
Искатель,1
Пункт отбора на военную службу по контракту по Мурманской области,1
ФКУ СИЗО-1 ГУФСИН России по Пермскому краю,1
Пункт отбора на военную службу по контракту по Пензенской области,1
ФКУ ИК-2 УФСИН России по Республике Татарстан,1
Петродворцовое районное отделение ГУФССП по СПб,1
Муниципальное бюджетное учреждение МФЦ Котельники,1
ФосАгро,1
Сиренко Андрей Владимирович,1
Петров Илья,1
ФГУП НИЦ Курчатовский институт - ВИАМ,1
СПБ ГБУ ЦСРИ Выборгского района,1
Региональный центр технического творчества Челябинской области,1
ГБУ ТО Многофункциональный центр предоставления государственных и муниципальных услуг,1
ФКУ БМТиВС ГУФСИН России по Красноярскому краю,1
Советское УСЗН Администрации города Челябинска,1
Мартынов Дмитрий,1
"2 Специальный полк полиции ГУ МВД России по г.Москве, 1 батальон",1
Тюменский филиал ФГБУ ЦНМВЛ,1
ОВО по Адмиралтейскому району г. СПб - филиал ФГКУ УВО ВНГ России по г. СПб и ЛО,1
Владис,1
Тверское УФАС России,1
СПБ ГБУ Центр социальной помощи семье и детям Центрального района,1
МИЦ-Столичный ипотечный центр,1
ФКУ СИЗО-6 ГУФСИН России по Красноярскому краю,1
Центральный отдел ВО филиал ФГКУ УВО ВНГ России по Новосибирской Области,1
