,employer.name
1 рота 1 полк полиции ФГКУ УВО ВНГ России по городу Москве,920
Отдел МВД России по Тверскому району г. Москвы,300
Спецподразделение по г. Москва ПОиКПиО ГУ МВД России,265
ОМОН Зубр ЦСН СР Росгвардии,264
2 ОБП УВО по ЦАО ФГКУ УВО ВНГ России по городу Москве,252
7 отдел полиции УВД на ММ ГУ МВД России по г. Москве,230
2-ой ОПП ГУ МВД России по г. Москве 1 рота 1 батальон,220
ППСП ГУ МВД России по г. Москве Полк 2-ый Спец. Батальон,160
ОМОН Росгвардии по г. Москве,150
ГУ МВД России по г. Санкт-Петербургу и Ленинградской области,140
"МАГНИТ, Розничная сеть",139
СБЕР,135
"Император, Группа компаний",130
УВД по СЗАО ГУ МВД России по г. Москве,124
AN-SECURITY,120
УМВД России по Тверской области,115
Полк Полиции ЮВАО ППСП ГУ МВД России по г. Москве,115
УМВД России по городскому округу Королев,115
ОБОЗ ГУ МВД России по Московской области,101
Казанское ЛУ МВД России на транспорте,100
2-й специальный полк полиции ГУ МВД России по г. Москве (автомобильный),100
Специальный полк полиции МВД России,100
Министерство внутренних дел по Республике Татарстан,99
Центр специального назначения вневедомственной охраны федеральной службы войск национальной гвардии Российской Федерации,99
Отдельный батальон патрульно-постовой службы полиции УМВД России по г. Набережные Челны,99
ОМОН Главного управления Росгвардии по г. Москве,97
"2 Специальный полк полиции ГУ МВД России по г.Москве, 1 батальон, 3 рота",96
1-ый специальный полк полиции ГУ МВД России по г. Москве,96
Почта России,96
Familia,93
Master-Staff Group,93
УВД по ЦАО ГУ МВД России по г.Москве,90
1-ый Отдельные Батальоны полиции МОВО по СВАО,89
Одинцовский ОВО - филиал ФГКУ УВО ВНГ России по Московской области,82
НК-Консалтинг,76
Специальный полк полиции ГУ МВД России по Московской области,76
ЭКСПРЕСС,72
"Красное & Белое, розничная сеть",61
Единство,60
Банк Русский Стандарт,60
МФК ВЭББАНКИР,57
ОБОиКПО Управления МВД России по г. Самаре,57
1 отдел охраны ЦСН ВО Росгвардии,57
Совкомбанк,55
Управление по центральному округу Центра охраны объектов связи ФГУП Охрана Росгвардии,55
ФКУ СИЗО-2 УФСИН России по г. Москве,54
2 отдел полиции УВД на Московском Метрополитене,54
ГУ МВД России по Кемеровской области,53
1 батальон 2-ого специального полка полиции Главного управления МВД РФ по городу Москве,50
ФКУ ИК-18 УФСИН России по Ямало-Ненецкому автономному округу,50
Центр охраны объектов промышленности (филиал) ФГУП Охрана Росгвардии отряд ВОХР № 3,50
Линейный отдел полиции на станции Новороссийск,50
1 СПП ГУ МВД РОССИИ по г. Москве (1 рота),49
2-й Специальный полк полиции ГУ МВД России по г. Москве,49
МОВО по САО ФГКУ УВО ГУ МВД России по г. Москва,49
Кадровое агентство Страж,48
Полк охраны и конвоирования подозреваемых и обвиняемых ГУ МВД России по г. Москве (2 рота 1 батальон),46
4 рота 1 полка полиции ФГКУ УВО ГУ МВД России по г. Москве,45
"ДИКСИ, группа компаний",45
ЛЭтуаль,44
ФКУ Можайская ВК УФСИН России по Московской области,44
1 рота 3 батальон 2-й СПП ГУ МВД России,44
FRESH AUTO,43
Полк ППС полиции Управления МВД России по г. Нижнему Новгороду,42
"2-й Специальный полк полиции ГУ МВД России по г. Москве, 3 батальон",41
ЧОО Гардиан Групп,38
ОМВД России по Октябрьскому району Ханты-Мансийский Автономный округ,37
Отряд пограничного контроля в международном аэропорту Шереметьево в Терминале E,37
Независимая нефтегазовая компания,37
JCat.ru,36
Газпром нефть,36
ОМОН Авангард Главного управления Росгвардии по г. Москве,36
Сибирский филиал ФГУП УВО Минтранса России,36
ПОиКПиО ГУ МВД России по г. Москве (авторота 1 батальона Полка),36
Московский аэропорт Домодедово,35
Охранная фирма Кодекс,35
"Командор, сеть супермаркетов",35
Отдельный батальон охраны и конвоирования подозреваемых и обвиняемых МВД Удмуртской Республики,34
Перекресток,34
ОМОН Главного управления Росгвардии по г. Москве отдел Пресс-службы,34
"Аванпост, группа компаний",34
Автомобильный батальон 2го специального полка Полиции ГУ МВД России по г. Москве,33
2-ой СПП ГУ МВД России по г. Москве (5-ый батальон 1-ая рота),33
Отряд пограничного контроля в международном аэропорту Шереметьево,33
УФССП России по Кемеровской области,32
ОВО по г. Смоленску,32
"РИВ ГОШ, Сеть магазинов",32
Группа Компаний Одеон,32
2-й отдельный батальон полиции УВО по Южному административному округу,31
МО МВД России Боготольский,31
"НЕВА, Холдинг безопасности",31
ОМВД России по г. Ураю,30
УВД по ЮАО ГУ МВД России по г. Москве,29
Охранная фирма Тамерлан,29
Finbridge,29
Московский метрополитен,28
"ГУ МВД России по г. Москве (1 рота, 2 батальон)",28
ДСК АВТОБАН,28
"УВО Минтранса России, ФГУП, Северо-Западный филиал",27
ССК ГАЗРЕГИОН,26
6 рота ППСП УВД на Московском метрополитене,26
1 ОБП УВО по ЦАО ФГКУ УВО ВНГ России по г. Москве,26
ОМВД Российской Федерации по Сургутскому району,26
Российские железные дороги,26
Норникель,26
Группа компаний Заслон (ООО Заслон),24
УМВД России по Ивановской области,23
ФКУ Пермская ВК ГУФСИН России по Пермскому краю,23
АСГ-КОНСТРАКШН,23
Восточная горнорудная компания,23
Группа компаний Селигдар,23
1-й специальный полк полиции ГУ МВД РФ по городу Москве,23
Ozon,22
ОКЕЙ – Федеральная розничная сеть,22
Банк ВТБ (ПАО),22
ЧОО Аймерк СПБ,22
МОВО по СВАО ФГКУ УВО ВНГ России по городу Москве,22
"Лента, федеральная розничная сеть",22
Отдельный батальон полиции № 2 Управления вневедомственной охраны по г. Красноярску,21
Объединенная металлургическая компания,21
Табыш,21
ANCOR,20
УК Эльга Уголь,20
МО МВД России Навашинский,20
Удоканская медь,20
"Мираторг, Агропромышленный холдинг",20
СК ЮВиС,20
Spar,20
ПОиКПиО ГУ МВД России по г. Москва 1 батальон,19
Серволюкс Восток,19
Группа НЛМК,19
Пензенский линейный отдел МВД России на транспорте,19
ГКУ КО Агентство по защите населения и территории Кемеровской области,19
Segezha Group,19
КБ Пойдём!,19
Мария-Ра,18
ФГКУ УВО ВНГ России по Калужской области,18
Intertek (Moody International),18
Леруа Мерлен,18
Подразделение ООО БММ г. Барнаул,18
ЧОП Аллигатор Урал,18
Отдел по Уральскому региону Центра охраны объектов топливно-энергетического комплекса (филиал) ФГУП Охрана Росгвардии,18
Отдел МВД России по Алексеевскому району г. Москвы,18
Почта Банк,18
"Виктория, Сеть супермаркетов",18
Спортмастер,18
ЧОО Рубеж,17
"Ресурс, ГАП",17
Бизнес-Ассистанс,17
АШАН Ритейл Россия,17
Альфа-Банк,17
ФКУ Ангарская ВК ГУФСИН России по Иркутской области,17
Защита Югры,17
Major logistics,17
"ГЦСС, ФГУП",16
ЦММ,16
Газстройпром,16
"ЭФКО, Управляющая компания",16
УМВД России по г. Нижневартовску,15
Дельта системы безопасности,15
Славянск ЭКО,15
Королевское ОВО - филиал ФГКУ УВО ВНГ России по Московской области,15
ЧОО Айсберг,15
6 отдел полиции УВД на Московском метрополитене ГУ МВД России по г. Москве,15
УФССП России по Республике Татарстан,15
КАРИ,14
Агентство судебного взыскания,14
Торговая сеть Ассорти-Продукт,14
iFCM Group,14
Труд,14
Гранд,14
Управление Федеральной службы войск национальной гвардии Российской Федерации по Смоленской области,14
Норд Транзит,14
2 мобильный взвод ОБ ППСП УВД по СВАО ГУ МВД России по г. Москве,14
6 отдел полиции УВД на ММ ГУ МВД России по г. Москве,14
Персонал-Сервис,14
Ульяновский линейный отдел МВД России на транспорте,14
2-ой специальный полк полиции ГУ МВД России по г. Москве 4 батальон,14
Отдел МВД России по Южнопортовому району г.Москвы,14
Тигр,14
Управление вневедомственной охраны главного управления войск национальной гвардии по Московской области сокращенно Ступинский ОВО- филиал ФГКУ УВО,14
ОВО по Курортному району г.СПб - филиал ФГКУ УВО ВНГ России по г.СПб и ЛО,13
Отдельная рота ППСП УВД по СЗАО ГУ МВД России по г. Москве,13
Концерн Покровский,13
ДОМИНАНТ ГК,13
Мегаполис,13
Федеральная служба войск национальной гвардии Российской Федерации,13
МОВО по г. Ессентуки - филиал ФГКУ УВО ВНГ России по Ставропольскому краю,13
"ВЕРНЫЙ, Сеть магазинов",13
Энерготехсервис,13
Управление по Северо-Западному федеральному округу Центра охраны объектов промышленности (филиал) ФГУП Охрана Росгвардии,13
2 Оперативный полк полиции ГУ МВД России по г.Москве ( 4 батальон),13
ГНП сеть,13
Филберт,12
Полк патрульно-постовой службы полиции управления МВД России по г. Ижевску,12
Балашихинский ОВО - филиал ФГКУ УВО ВНГ России по Московской Области,12
Ростелеком,12
Юникс,12
"Авангард, АКБ",12
"СНС, Группа Компаний",12
ЛИУ № 3 УФСИН РОССИИ по Саратовской области ФКУ,12
Филиал ООО РН-Транспорт в г. Уфа,12
Триумф,12
ФКУ ИК-9 УФСИН России по Чувашской Республике - Чувашии,12
МОВО по ЮАО ФГКУ УВО ГУ МВД России,12
"РУСАЛ, Центр подбора персонала",12
ИнКомБезопасность,12
Полюс,12
КА Правильный Выбор,12
ЧОП Полюс Щит,12
СК Горизонт,12
ФКУ ИК-5 УФСИН России по Московской области,11
ЧОП Витязь-Резерв,11
"Красный Яр, Сеть Гастрономов",11
"ЕвроХим, Минерально-Химическая Компания",11
AKRON HOLDING,11
Текстильный центр РИО Иваново,11
Пятёрочка,11
Кавказское управление Ростехнадзора,11
ФГКУ УВО ВНГ России по Чувашской Республике,11
Добрыня-Русь,11
ФГКУ 1 ОФПС по Владимирской области,11
ЛО МВД России на ст. Екатеринбург-Пассажирский,11
Васильевский рудник,11
Группа компаний Титан,10
ЯМАЛ,10
Агентство ЛУКОМ-А,10
РН-Транспорт,10
Азбука вкуса,10
"Монетка, Торговая сеть",10
Группа Илим,10
ЧОО Монолит-Сибирь,10
Энергетическое Строительство,10
Филиал ФГП ВО ЖДТ России на Юго-Восточной ЖД,10
РигВеда,10
Центр охраны объектов промышленности (филиал) ФГУП «Охрана» Росгвардии,10
Областная соматическая больница Главного управления Федеральной службы исполнения наказаний по Самарской области,10
Уралметаллургмонтаж 2,10
Квазар,10
2 полк полиции ФГКУ УВО ВНГ России по г. Москве,10
Юпитер ХХI ЧОП,10
5POST,10
Отделение МВД России по Большеглушицкому району,10
Отдел МВД России по району Северное Бутово г. Москвы,10
ГУП Мосгортранс,10
Отделение МВД России по Селивановскому району,10
Главное управление Федеральной службы судебных приставов по Москве,10
Филиал ФГУП Охрана Росгвардии по Челябинской области,10
Х5 Transport,10
"Подмосковная Слобода, обособленное подразделение г. Истра",10
СпецГеоСтрой,10
ОМВД России по Кировскому району ЛО,10
Феникс,10
ЭЛЬБРУС,10
"РОСИНКАС, объединение",10
"Черкизово, Группа предприятий",9
ПОЛАТИ,9
Бауцентр Рус,9
Аэропорт Новый Уренгой,9
Группа компаний Фараон,9
НБК Финанс,9
