name,address.city,address.city
Cпециалист 1 разряда отдела антимонопольного контроля Управления Федеральной антимонопольной службы,Тверь,1
HR менеджер (старший специалист по кадрам) ПОДБОР,Москва,1
Агент по продаже недвижимости,Иркутск,1
Библиотекарь,Севастополь,1
Ведущий агроном в отдел карантина растений фитосанитарной испытательной лаборатории,Тюмень,1
Ведущий аналитик отдела градостроительной политики в Управлении,Красногорск,1
Ведущий аналитик отдела инвестиций в Управлении,Красногорск,1
Ведущий инженер (газотермические покрытия),Москва,1
Ведущий инженер-конструктор,Москва,1
Ведущий инженер-проектировщик (сети газоснабжения и газораспределения),Пермь,1
Ведущий инженер-разработчик,Москва,1
Ведущий специалист,Краснодар,1
Ведущий специалист,Тула,1
Ведущий специалист - эксперт в отдел установления пенсий с учетом специального стажа,Кострома,1
Ведущий специалист / психолог,Краснодар,1
Ведущий специалист МФЦ (Кудрово),Кудрово,1
Ведущий специалист МФЦ (Ломоносов),Ломоносов,1
Ведущий специалист МФЦ (Сертолово),Сертолово,1
Ведущий специалист МФЦ (администратор на ресепшен),Котельники,1
"Ведущий специалист отдела ""Мурино"" филиала ГБУ ЛО ""МФЦ"" ""Всеволожский""",Мурино,1
Ведущий специалист по гражданской обороне и чрезвычайным ситуациям,Санкт-Петербург,1
Ведущий специалист/методист,Краснодар,1
Водитель,Казань,1
Водитель (прапорщик),Одинцово,6
Водитель - сотрудник гаража,Санкт-Петербург,1
Водитель автомобиля,Новороссийск,1
Водитель на спецавтомобиль,Москва,2
Водитель погрузчика (прапорщик),Одинцово,2
Водитель пожарного автомобиля,Суздаль,1
Водитель сотрудник,Каменск-Шахтинский,1
Водитель-полицейский,Москва,1
Водитель-сотрудник,Саратов,1
Водитель-сотрудник,Ульяновск,1
Военнослужащий по контракт,Краснодар,2
Военнослужащий по контракту,Челябинск,354
Военнослужащий по контракту,Краснодар,94
Военнослужащий по контракту,Москва,48
Военнослужащий по контракту,Комсомольск-на-Амуре,34
Военнослужащий по контракту,Казань,28
Военнослужащий по контракту,Петрозаводск,23
Военнослужащий по контракту,Псков,18
Военнослужащий по контракту,Санкт-Петербург,17
Военнослужащий по контракту,Рязань,14
Военнослужащий по контракту,Мурманская область,12
Военнослужащий по контракту,Калуга,11
Военнослужащий по контракту,Тамбов,11
Военнослужащий по контракту,Королёв,10
Военнослужащий по контракту,городской округ Домодедово,9
