,address.city
Челябинск,359
Москва,200
Краснодар,100
Санкт-Петербург,39
Комсомольск-на-Амуре,34
Казань,33
Великий Новгород,28
Одинцово,28
Московская область,26
Петрозаводск,23
Липецк,20
Псков,18
городской округ Домодедово,18
Белгород,18
Рязань,17
Новосибирск,17
городской округ Химки,14
Калуга,13
Тамбов,12
Мурманская область,12
Королёв,11
Красное Село,7
Северск,7
Екатеринбург,6
Саратов,5
Смоленск,5
Красногорск,5
Кострома,5
Томск,5
Рыбинск,4
Лесной,4
Нижний Новгород,4
Орёл,4
посёлок городского типа Городищи,4
Тула,4
Омск,2
Томский район,2
Самара,2
Пермь,2
Мурманск,2
посёлок Социалистический,2
Анжеро-Судженск,2
Костомукша,2
Красноярск,2
Иркутск,2
Суздаль,2
посёлок городского типа Подгорный,2
Севастополь,2
Брянск,2
Новороссийск,2
Козловка,2
Тверь,2
Сыктывкар,1
Геленджик,1
Чебаркуль,1
Тюмень,1
Набережные Челны,1
Сертолово,1
Котельники,1
Каменск-Шахтинский,1
Петергоф,1
Ломоносов,1
Мурино,1
Новомосковск,1
Сосновоборск,1
Ульяновск,1
Кудрово,1
посёлок Приобский,1
Соликамск,1
Тольятти,1
Чебоксары,1
село Иковка,1
Архангельск,1
посёлок городского типа Ижморский,1
посёлок имени Дзержинского,1
село Грачёвка,1
село Левокумское,1
Уссурийск,1
Хабаровск,1
Ижевск,1
станица Крыловская,1
Железноводск,1
Южно-Сахалинск,1
Душанбе,1
посёлок городского типа Форносово,1
Нижний Тагил,1
Владимир,1
Каменск-Уральский,1
Углич,1
Котлас,1
Челябинская область,1
