,address.city
Москва,1565
Санкт-Петербург,627
Екатеринбург,235
Красноярск,221
Новосибирск,199
Нижний Новгород,197
Казань,177
Иркутск,119
Челябинск,118
Самара,113
Омск,112
Краснодар,107
Уфа,93
Пермь,90
Ростов-на-Дону,89
Воронеж,88
Тюмень,74
Ярославль,68
Кемерово,64
Хабаровск,63
Томск,59
Новокузнецк,58
Барнаул,58
Одинцово,57
Набережные Челны,57
Тверь,56
Ижевск,52
Волгоград,52
Иваново,50
Смоленск,46
Рязань,43
Белгород,42
Калининград,42
Саратов,42
Сургут,41
Тула,40
Ульяновск,39
Владивосток,39
Владимир,36
Сочи,35
Липецк,34
Оренбург,31
Симферополь,30
городской округ Химки,30
Нижневартовск,29
Пенза,28
Тольятти,28
Севастополь,27
Магнитогорск,26
Петрозаводск,26
Мурманск,26
Улан-Удэ,25
Кострома,24
Балашиха,24
Архангельск,23
Чита,23
Ангарск,21
Чебоксары,21
Брянск,21
Удомля,21
Ставрополь,20
Курск,20
Благовещенск,18
Калуга,18
Курган,17
Тамбов,16
Череповец,16
Киров,16
Новороссийск,16
Вологда,15
Норильск,15
Ессентуки,15
Новый Уренгой,15
Колпино,15
Южно-Сахалинск,15
Нижний Тагил,14
Домодедово,14
Московская область,13
посёлок Комарово,13
Волжский,13
посёлок Шушары,13
Балашов,12
Прокопьевск,12
Фрязино,12
Сестрорецк,12
Белово,12
Навашино,12
Орёл,12
городской округ Домодедово,12
Пушкин,11
Химки,11
Подольск,11
Бийск,11
Йошкар-Ола,11
Новомосковск,11
Псков,11
Мытищи,11
Стерлитамак,11
Астрахань,11
Якутск,11
Анапа,10
Осинники,10
Пушкино,10
Энгельс,10
Сызрань,10
Выборг,9
Сергиев Посад,9
Березники,9
Красное Село,9
Зеленоград,9
Обнинск,9
Саранск,9
Троицк,9
Гатчина,9
Новокуйбышевск,9
Ямало-Ненецкий автономный округ,9
Щёлково,9
Орск,8
Берёзовский,8
Павловский Посад,8
Видное,8
станица Староминская,8
Балаково,8
Салават,8
Великий Новгород,8
городской округ Норильск,8
Красногорск,8
Нижнекамск,8
Кингисепп,7
Абакан,7
Дзержинск,7
Кандалакша,7
Дмитров,7
Солнечногорск,7
Комсомольск-на-Амуре,7
Королёв,7
Каменск-Уральский,7
деревня Новая Купавна,7
Пыть-Ях,7
Братск,7
Волгодонск,7
Копейск,7
Приозерск,7
Златоуст,7
Люберцы,7
Рыбинск,7
Владикавказ,7
Искитим,7
Красный Холм,6
Усть-Кут,6
Батайск,6
село Клочки,6
посёлок Парголово,6
рабочий посёлок Городище,6
деревня Бритово,6
Магадан,6
Ломоносовский район,6
Сыктывкар,6
Междуреченск,6
Долгопрудный,6
Новомосковский административный округ,6
Ленинск-Кузнецкий,6
Котельники,6
Котлас,6
Ступино,6
Первоуральск,6
Железногорск,5
Всеволожский район,5
деревня Толиково,5
Волхов,5
Боготол,5
Кстово,5
Салехард,5
Волосово,5
Аксай,5
посёлок городского типа Усть-Нера,5
Белореченск,5
Егорьевск,5
Гурьевск,5
село Кысыл-Сыр,5
Усть-Лабинск,5
Нефтеюганск,5
Уссурийск,5
Северск,5
Чехов,5
Ковров,5
Пятигорск,5
деревня Елино,5
Лесосибирск,5
село Павловская Слобода,5
Новочеркасск,5
Красный Сулин,4
посёлок Вёшки,4
Тобольск,4
Наро-Фоминск,4
город Чебоксары,4
посёлок Солнечный,4
Старый Оскол,4
Шахтёрск,4
Петропавловск-Камчатский,4
Кулебаки,4
Армавир,4
Новоалтайск,4
Петергоф,4
Глазов,4
Западная Двина,4
Таганрог,4
поселок Храброво,4
Коломна,4
Вязники,4
Бердск,4
Клин,4
Стрежевой,4
Кирово-Чепецк,4
Соликамск,4
посёлок Дружный,4
посёлок городского типа Лесной,4
Ачинск,4
Керчь,4
Раменское,4
поселок Металлургов,4
Калининградская область,4
Орел,4
Октябрьский,4
Северодвинск,4
Пучеж,4
посёлок Рублёво,4
Большой Камень,4
Ростов,4
Бодайбо,4
Новочебоксарск,4
Электроугли,4
Ногинск,4
Сосновоборск,4
деревня Малые Вязёмы,4
Нягань,4
Сосновый Бор,4
Людиново,4
рабочий посёлок Ржавки,4
Донской,3
Мурино,3
Елизово,3
Волгоградская область,3
Алтайский край,3
посёлок Элитный,3
поселок Большой Исток,3
Сарапул,3
городской посёлок Дубровка,3
Усинск,3
Фролово,3
Серпухов,3
Кингисеппский район,3
Мегион,3
деревня Никольское,3
Качканар,3
Россошь,3
Менделеевск,3
рабочий посёлок Селятино,3
посёлок городского типа Афипский,3
Геленджик,3
Радужный,3
Емельяновский район,3
поселок городского типа Ягодное,3
село Малиновка,3
Зеленогорск,3
Балтийск,3
Находка,3
Артём,3
рабочий посёлок Приволжский,3
Ноябрьск,3
Раменский район,3
Миасс,3
посёлок Волна,3
деревня Радумля,3
посёлок Громадск,3
Белоярский,3
Рубцовск,3
Кунгур,3
Нефтекамск,3
Кировск,3
Ишимбай,3
Карасук,3
деревня Покровское,3
Ухта,3
