,name
Военнослужащий по контракту,1371
Полицейский,383
Военнослужащий по контракту на Северном флоте,62
Полицейский в отдельный батальон,51
Полицейский-водитель в отдельный батальон,50
Оператор видеонаблюдения,50
Военнослужащий по контракту (спецназ),50
Полицейский ПОиКПиО ГУ МВД России по г. Москве,48
Специалист (паспортный контроль),46
Младший инспектор отдела охраны и группы надзора отдела безопасности,43
Специалист (пограничный контроль),37
Военнослужащий по контракту в Камчатском крае,35
Участковый уполномоченный полиции,34
"Военнослужащий по контракту (г. Заречный, Свердловская обл./БАС и ИРМ)",29
Оперуполномоченный уголовного розыска,25
Контролер проверки оснований на право пересечения государственной границы РФ,24
Контролёр проверки оснований на право пересечения государственной границы РФ (Москва),21
Военнослужащий пограничных органов,20
Военнослужащий по контракту (Министерство обороны Российской Федерации),18
Военнослужащий пограничных органов (в Новосибирскую область),18
Младший инспектор отдела охраны,18
Сотрудник (сотрудница) паспортного контроля в международном аэропорту Шереметьево,16
Контролер по проверке документов,16
Военнослужащий по контракту в Росгвардии (Москва),15
Военнослужащий по контракту в войсковую часть,13
Начальник склада (Прапорщик),11
"Полицейский (водитель Росгвардии), Москва",11
"Военнослужащий по контракту, в Камчатском крае",11
Младший инспектор отдела по конвоированию,10
Военнослужащий(ая) пограничной службы в аэропорт,10
Сотрудник пограничной службы (Специалист по проверке документов),9
Полицейский (кавалерист)/полицейский,9
Полицейский Полка охраны и конвоирования подозреваемых и обвиняемых ГУ МВД России (г. Москва),9
Судебный пристав по ОУПДС,8
Младший инспектор,8
Младший инспектор дежурной службы отдела режима и надзора,8
Младший судебный пристав по обеспечению установленного порядка деятельности судов,7
"Военнослужащий по контракту (п. Каменка, Ленинградская обл.)",6
Тракторист-машинист (прапорщик),6
Водитель (прапорщик),6
Военнослужащий по контракту МО РФ,6
Полицейский (Красное село),6
Военнослужащий по контракту ВНГ РФ,6
Военнослужащий по контракту (в Министерство Обороны РФ),5
"Военнослужащий по контракту (п. Каменка, Лен. обл.)",5
Военнослужащий по контракту в Камчатский край,5
Военнослужащий по контракту в г. Москва,4
Водитель категории С (военнослужащий по контракту) в МЧС России,4
Сотрудник пограничной службы (служба по контракту),4
Младший инспектор отдела безопасности,3
"Военнослужащий по контракту (г. Луга, Ленинградская обл.)",3
Военнослужащий по контракту в ВС РФ,3
Младший инспектор группы надзора,3
Военнослужащий по контракту в г.Рязань,3
Инструктор-кинолог,3
Полицейский патрульно-постовой службы полиции,3
Судебный пристав-исполнитель,3
Сапер,3
Следователь/дознаватель,2
"Военнослужащий по контракту (г. Можайск, Московская обл.)",2
Пожарный,2
Специалист 2 разряда аппарата мировых судей Ставропольского края,2
Младший инспектор отдел охраны,2
Специалист 1 разряда отдела камеральных проверок,2
Полицейский (кинолог),2
Полицейский (водитель) Росгвардии,2
Военнослужащий по контракту в Росгвардии,2
Военнослужащий по контракту в г. Костомукше Пограничного управления ФСБ России по Республике Карелии,2
"Военнослужащий по контракту (г. Балтийск, Калининградская обл.)",2
Инспектор ДПС УМВД России по г. Нижнему Новгороду,2
Спасатель,2
Военнослужащий по контракту 3481,2
Полицейский (водитель),2
Военнослужащий по контракту в Пограничных органах ФСБ России,2
Военнослужащий,2
Водитель-сотрудник,2
Консультант отдела по обращениям,2
Водитель погрузчика (прапорщик),2
Военнослужащий по контракт,2
Ведущий специалист,2
Водитель на спецавтомобиль,2
Водитель автомобиля,2
Младший инспектор отдела режима и надзора,2
Сотрудник (сотрудница) паспортного контроля на военную службу по контракту в аэропорт Шереметьево,2
Специалист по приему документов (пгт. Староуткинск),1
Специалист по приему документов (г. Нижняя Салда),1
Специалист по приему документов (г. Бисерть),1
Ведущий специалист МФЦ (Сертолово),1
Специалист по приему документов (р.п. Пышма),1
Ведущий специалист МФЦ (Кудрово),1
Ведущий специалист МФЦ (администратор на ресепшен),1
Военнослужащий по контракту (Пограничная служба),1
Специалист по подшивке и формированию дел (кадровый резерв),1
Специалист по работе с клиентами МФЦ,1
Ведущий специалист МФЦ (Колтуши),1
Специалист по приему документов (г. Туринск),1
Судебный пристав-исполнитель Петродворцового районного отделения ГУ ФССП России по г. Санкт-Петербу,1
Ведущий аналитик отдела градостроительной политики в Управлении,1
Государственный служащий в Росгвардию (ФС ВНГ РФ) в подразделение СПВО,1
Ведущий эксперт дорожного хозяйства,1
Сотрудник-водитель ведомственной пожарной части УИС,1
Командир отделения ведомственной пожарной части УИС,1
Военнослужащий по контракту в Новосибирскую область,1
Военнослужащий по контракту (в Новосибирскую область),1
Инженер-сапёр,1
Преподаватель-организатор ОБЖ,1
Специалист отдела градостроительной политики в Управлении по обращениям граждан.,1
Ведущий специалист/консультант,1
Ведущий специалист / психолог,1
Ведущий специалист/методист,1
Руководитель ликвидации чрезвычайной ситуаций,1
"Ведущий специалист отдела ""Мурино"" филиала ГБУ ЛО ""МФЦ"" ""Всеволожский""",1
Ведущий специалист МФЦ (Ломоносов),1
Менеджер,1
Ведущий специалист по гражданской обороне и чрезвычайным ситуациям,1
Младший инспектор комендатуры,1
Начинающий специалист,1
Младший инспектор/инструктор кинолог отдела охраны,1
Помощник мирового судьи,1
Старшина группы обслуживания,1
Начальник штаба ГО и ЧС,1
"Оперативный дежурный дежурной части ОМВД России по району Северное Бутово, г. Москвы",1
Заместитель начальника отдела сопровождения технологий Управления модернизации налоговых органов,1
Главный специалист эксперт отдела внедрения проектных решений в камеральном контроле,1
Начальник Канцелярии,1
Заместитель начальника отдела камеральных проверок,1
Контролер / военнослужащий по контракту войск национальной гвардии,1
Инженер-конструктор / схемотехник,1
"Инспектор отдела охраны, безопасности и надзора",1
Помощник менеджера,1
Заместитель главы муниципального образования Крыловский район(вопросы экономики),1
Старший инструктор по боевой и специальной подготовке,1
Сотрудник ФСБ России,1
Педагог-психолог,1
Военнослужащий по контракту в ВНГ РФ,1
Сотрудник дежурной службы,1
Главный специалист МФЦ,1
Главный специалист УРМ (удаленных рабочих мест),1
Главный специалист-оператор окна в МФЦ,1
Оператор окна в МФЦ,1
Специалист по государственным закупкам и юридическому сопровождению,1
Ведущий специалист отдела приема заявителей,1
Администратор в МФЦ,1
Консультант РПГУ в МФЦ,1
Ведущий агроном в отдел карантина растений фитосанитарной испытательной лаборатории,1
Специалист по приему документов (пос. Зайково),1
Специалист по приему документов (пгт. Тугулым),1
Военнослужащий по контракту в аэропорту Шереметьево,1
Инструктор по АФК,1
Заместитель начальника отдела бухгалтерского учета,1
Военнослужащий (Чеченская Республика),1
Старший специалист 2 разряда (специалист по информатизации),1
Полицейский - кинолог,1
Полицейский (кинолог) кинологической службы,1
Полицейский-водитель патрульно-постовой службы полиции,1
Специалист по социальной работе,1
"Военнослужащий по контракту (п. Каменка, Лениградская обл.)",1
Военнослужащий по контракту в г. Тула,1
Полицейский (Красносельский район),1
Военнослужащий по контракту в г. Иваново,1
"Военнослужащий по контракту, г. Луга",1
"Военнослужащий по контракту, п. Мулино (Нижегородская область)",1
Водитель-полицейский,1
"Военнослужащий по контракту, г. Разянь",1
Военнослужащий по контракту в г. Курск,1
Старший мастер связи и специального оборудования группы,1
Полицейский конвоя,1
Эксперт Направления мобилизационной подготовки и мобилизации,1
Программист (Москва),1
Дознаватель,1
