,name
Полицейский,2682
Охранник,1232
Специалист по охране труда,1015
"Полицейский, город Москва",300
Боец ОМОН ЗУБР ЦСН СР Росгвардии,264
Полицейский (Росгвардия),240
Контролер-охранник,222
Специалист по охране труда и технике безопасности,176
Ведущий специалист по охране труда,167
Полицейский (боец),152
Инженер по охране труда,150
Участковый уполномоченный полиции,135
Специалист по охране труда и промышленной безопасности,120
Инженер-эколог,119
Оператор видеонаблюдения,106
Полицейский Отдельного батальона по охране зданий ГУ МВД России по Московской области,100
Специалист службы безопасности,93
Следователь,90
Инженер по охране труда и технике безопасности,87
Эколог,86
Контролер КПП,83
Сторож,80
Старший полицейский группы задержания,78
Полицейский спецполка ГУ МВД по Московской области (г. Долгопрудный),76
Специалист по взысканию задолженности,75
Сотрудник полиции (2-й Специальный полк полиции ГУ МВД России по г. Москве),74
Специалист по безопасности,71
Полицейский (Москва),69
Контролер торгового зала,68
Младший инспектор отдела охраны,68
Специалист по пожарной безопасности,61
Инспектор службы безопасности,56
Сотрудник Росгвардии,55
Контролер,55
Младший инспектор отдела режима и надзора/дежурной службы,52
Полицейский ИВС,52
Полицейский полка охраны и конвоирования,51
Полицейский (Войска национальной гвардии),50
Младший инспектор отдела безопасности и охраны (Ямало-Ненецкий автономный округ),50
Оперативный дежурный дежурной части Казанского ЛУ МВД России на транспорте,50
Полицейский коменданского отделения Казанского ЛУ МВД России,50
Участковый уполномоченный полиции (г. Королев),50
Полицейский конвоир (Набережные Челны),50
Полицейский патрульно постовой службы Линейного отдела полиции на станции Новороссийск,50
Водитель автозака (Набережные Челны),49
Полицейский роты,49
Инженер по пожарной безопасности,49
Полицейский ПОиКПиО ГУ МВД России по г. Москве,49
Сторож-охранник,48
Инженер по охране труда и промышленной безопасности,48
Оперуполномоченный (Москва),47
Судебный пристав-исполнитель,47
"Водитель (Полицейский), Москва",44
"Полицейский-кавалерист, (ГОД за ПОЛТОРА) г. Москва",44
Полицейский Полка охраны и конвоирования подозреваемых и обвиняемых ГУ МВД России (г. Москва),44
Оперуполномоченный,42
Сотрудник охраны,42
Инженер по промышленной безопасности,41
Оперуполномоченный уголовного розыска,40
Участковый уполномоченный полиции (Москва),40
Полицейский ГУ МВД России по г. Москве,39
Дознаватель,37
Младший инспектор,37
Руководитель службы безопасности,36
Полицейский 2 СПП ГУ МВД России по Москве,36
Администратор-охранник,36
Инженер по охране окружающей среды,36
Полицейский (кавалерист),35
Оперативный дежурный,35
Специалист (пограничный контроль),34
Полицейский группы задержания,34
Младший инспектор отдела безопасности,34
Боец/водитель (ОМОН Главного управления Росгвардии по г. Москве),34
Полицейский (водитель) в Москве,33
Специалист по взысканию просроченной задолженности,32
Полицейский вневедомственной охраны Росгвардии,32
Специалист по охране труда и пожарной безопасности,31
Начальник охраны,31
Полицейский в г.Москва,31
Охранник ведомственной охраны,31
Пожарный,31
Полицейский (водитель),30
Полицейский ППСП в СПП ГУ МВД России по г. Москве,29
Ведущий специалист выездного взыскания,29
Сотрудник полиции,28
Специалист по промышленной безопасности,28
