name,salary.from
Cпециалист 1 разряда отдела антимонопольного контроля Управления Федеральной антимонопольной службы,12800.0
HR менеджер (старший специалист по кадрам) ПОДБОР,80000.0
Senior Consultant to Strategy & Operations Consulting to Government & Public group,
Senior Manager/Manager to Strategy & Operations Consulting - Government & Public Sector (G&PS),
Агент по продаже недвижимости,90000.0
Администратор в МФЦ,30000.0
Библиотекарь,22000.0
Ведущий агроном в отдел карантина растений фитосанитарной испытательной лаборатории,35000.0
Ведущий аналитик отдела градостроительной политики в Управлении,55000.0
Ведущий аналитик отдела инвестиций в Управлении,55000.0
Ведущий инженер (газотермические покрытия),
Ведущий инженер-конструктор,
Ведущий инженер-проектировщик (сети газоснабжения и газораспределения),47600.0
Ведущий инженер-разработчик,
Ведущий специалист,29500.0
Ведущий специалист - эксперт в отдел установления пенсий с учетом специального стажа,18000.0
Ведущий специалист / психолог,28000.0
Ведущий специалист МФЦ (Колтуши),35000.0
Ведущий специалист МФЦ (Кудрово),35000.0
Ведущий специалист МФЦ (Ломоносов),35000.0
Ведущий специалист МФЦ (Сертолово),35000.0
Ведущий специалист МФЦ (администратор на ресепшен),35000.0
"Ведущий специалист отдела ""Мурино"" филиала ГБУ ЛО ""МФЦ"" ""Всеволожский""",35000.0
Ведущий специалист отдела приема заявителей,31750.0
Ведущий специалист по гражданской обороне и чрезвычайным ситуациям,16000.0
Ведущий специалист/консультант,29000.0
Ведущий специалист/методист,27000.0
Ведущий эксперт дорожного хозяйства,
Водитель,25000.0
Водитель (прапорщик),50000.0
Водитель - сотрудник гаража,43000.0
Водитель ВНГ,54000.0
Водитель автомобиля,27750.0
Водитель в Управление федеральной службы войск национальной гвардии,50000.0
Водитель категории С (военнослужащий по контракту) в МЧС России,40000.0
Водитель на спецавтомобиль,50000.0
Водитель погрузчика (прапорщик),50000.0
Водитель пожарного автомобиля,30000.0
Водитель служебного автотранспорта/Сотрудник охраны режимных объектов,40000.0
Водитель сотрудник,25000.0
Водитель-полицейский,50000.0
Водитель-сотрудник,32500.0
Военнослужащий,50000.0
Военнослужащий (Чеченская Республика),50000.0
Военнослужащий по контракт,26500.0
Военнослужащий по контракту,35000.0
"Военнослужащий по контракту (12 ГУ Минестерства Обороны, Мурманская область)",40000.0
"Военнослужащий по контракту (12 ГУ Министерства обороны, Мурманская обл.)",40000.0
Военнослужащий по контракту (Брянская область),35000.0
"Военнослужащий по контракту (Дмитровский р-он, Московская область)",27000.0
Военнослужащий по контракту (Министерство обороны Российской Федерации),28000.0
Военнослужащий по контракту (Пограничная служба),70000.0
Военнослужащий по контракту (Сотрудник пограничной службы),39000.0
Военнослужащий по контракту (в Министерство Обороны РФ),32000.0
Военнослужащий по контракту (в Новосибирскую область),40000.0
"Военнослужащий по контракту (г. Балтийск, Калининградская обл.)",35000.0
"Военнослужащий по контракту (г. Балтийск, Калининградская область)",35000.0
Военнослужащий по контракту (г. Грозный),50000.0
"Военнослужащий по контракту (г. Заречный, Свердловская обл./БАС и ИРМ)",30000.0
Военнослужащий по контракту (г. Иваново),32000.0
"Военнослужащий по контракту (г. Королев, Московская область)",25000.0
"Военнослужащий по контракту (г. Луга, Ленинградская обл.)",35000.0
"Военнослужащий по контракту (г. Луга, Ленинградская область)",35000.0
"Военнослужащий по контракту (г. Можайск, Московская обл.)",40000.0
Военнослужащий по контракту (г. Смоленск),30000.0
Военнослужащий по контракту (н.п. Софрино),40000.0
"Военнослужащий по контракту (п. Каменка, Лен. обл.)",35000.0
"Военнослужащий по контракту (п. Каменка, Лениградская обл.)",35000.0
"Военнослужащий по контракту (п. Каменка, Ленинградская обл.)",35000.0
Военнослужащий по контракту (пресс-служба),28000.0
Военнослужащий по контракту (спецназ),200000.0
Военнослужащий по контракту 3481,43000.0
Военнослужащий по контракту ВНГ РФ,35000.0
Военнослужащий по контракту МО РФ,60000.0
Военнослужащий по контракту в ВНГ РФ,40000.0
Военнослужащий по контракту в ВС РФ,35000.0
Военнослужащий по контракту в Вооруженных Силах Российской Федерации,25000.0
Военнослужащий по контракту в Камчатский край,
Военнослужащий по контракту в Камчатском крае,55000.0
Военнослужащий по контракту в Новосибирскую область,40000.0
Военнослужащий по контракту в Пограничных органах ФСБ России,45000.0
Военнослужащий по контракту в Росгвардии,40000.0
Военнослужащий по контракту в Росгвардии (Москва),25000.0
Военнослужащий по контракту в аэропорту Шереметьево,39000.0
Военнослужащий по контракту в войсковую часть,30000.0
"Военнослужащий по контракту в г. Валуйки, Белгородская область",28000.0
Военнослужащий по контракту в г. Иваново,27000.0
Военнослужащий по контракту в г. Костомукше Пограничного управления ФСБ России по Республике Карелии,60000.0
Военнослужащий по контракту в г. Курск,27000.0
Военнослужащий по контракту в г. Москва,27000.0
"Военнослужащий по контракту в г. Наро-Фоминск, Московская область",32000.0
Военнослужащий по контракту в г. Псков,30000.0
Военнослужащий по контракту в г. Тамбов,27000.0
Военнослужащий по контракту в г. Тула,27000.0
Военнослужащий по контракту в г.Рязань,28000.0
"Военнослужащий по контракту в п. Каменка, Ленинградская обл.",27000.0
Военнослужащий по контракту в пограничных органах,40000.0
Военнослужащий по контракту на Северном флоте,51000.0
"Военнослужащий по контракту, Каменка (Ленинградская область)",27000.0
"Военнослужащий по контракту, в Камчатском крае",56000.0
"Военнослужащий по контракту, г. Кронштадт",35000.0
