name,salary.from
AppSec Engineer Mobile Apps (Android/iOS),
Application security/ Безопасность приложений,
Backend-developer (Java),
Cпециалист отдела охраны труда и промышленной безопасности,
Cпециалист отдела по предотвращению внештатных ситуаций (ПВС),49350.0
Cпециалист отдела по работе с исполнительным производством,30000.0
Cпециалист по охране труда в Службу производственного контроля и охраны труда,27700.0
Cпециалист по охране труда и пожарной безопасности,
Cпециалист по промышленной безопасности и охране труда,120000.0
Cторож-дворник,16000.0
Cудебный пристав по обеспечению установленного порядка деятельности судов,35000.0
EHS Менеджер / Руководитель отдела ПБиОТ,150000.0
Fraud Monitoring Specialist,
HARD- специалист дистанционного сбора просроченной задолженности,50000.0
HSE coordinator / Специалист по ОТ и ПБ,70000.0
Lead data scientist (Антифрод),
Product Manager (Разработка ПО в сфере Информационной Безопасности),
Senior Property Protection Specialist,
Senior System Analyst,
Solution architect,
Technical Safety Engineer / Technical Safety Senior Engineer,
Агент (в сфере образования),45000.0
Агент выездного взыскания по работе с залоговым портфелем и сопровождению ИП,
Агент выездного взыскания просроченной задолженности (Hard Collection),
Агент службы режима строительного центра,22000.0
Адвокат (уголовные дела экономической направленности),
Администратор,18000.0
Администратор (c обязанностями охранника),
Администратор (Дом Швеции),10000.0
Администратор (Оператор видеонаблюдения),
Администратор (отдел охраны),
Администратор (охранник),39750.0
Администратор (охранник) в супермаркет,18000.0
Администратор (служба безопасности офиса),45000.0
"Администратор - контролер на парковку (охрана, ТЦ ""Дирижабль"")",25000.0
Администратор / Охранник,48600.0
Администратор SIEM\SOAR,
Администратор Службы администраторов / Администратор КПП,40000.0
"Администратор в ТРЦ ""Ривьера"" (внутренняя служба безопасности)",23750.0
Администратор в службу безопасности,35000.0
Администратор зала/охранник,45000.0
Администратор магазина (Охранник),
"Администратор магазина / охранник (м. Пражская, ТЦ «Columbus»)",60000.0
Администратор объекта,
Администратор объекта (охранник),67000.0
"Администратор офиса, охранник офиса",
Администратор охраны,
Администратор паркинга (ст.м.Петроградская),42000.0
Администратор парковки,17000.0
Администратор по безопасности,45000.0
"Администратор по обеспечению сохранности магазина (м. Пражская, ТЦ «Columbus»)",60000.0
Администратор пропускного пункта / охранник (Красное село),35000.0
Администратор пропускного режима,31500.0
Администратор систем антивирусной защиты,46000.0
Администратор службы безопасности,28000.0
"Администратор службы режима (м-н ""Восток"" ул. Гагарина д.14)",
Администратор территории Службы администраторов,40000.0
Администратор торгового комплекса (сотрудник службы безопасности),22000.0
"Администратор-Контролер торгового зала, охранник (ТЦ FORT Ясенево)",39000.0
"Администратор-контролер (п.Ковалево,Всеволожский рай-он)",40000.0
Администратор-контролёр КПП,20000.0
Администратор-охранник,27850.0
"Администратор-охранник (К. Маркса, 90)",25000.0
Администратор-охранник (Колпино),40000.0
Администратор-охранник (Маяк),25000.0
Администратор-охранник (Меркурий),40000.0
Администратор-охранник (ТРЦ Галерея),26000.0
Администратор-охранник (ТЦ Атмосфера),40000.0
Администратор-охранник (ТЦ Галерея),27000.0
Администратор-охранник (ТЦ Европа-Сити),33000.0
Администратор-охранник (ТЦ ТРИУМФ),28000.0
Администратор-охранник (ЦУМ),25000.0
Администратор-охранник (Южный парк),30000.0
Администратор-охранник (м.Бухарестская),40000.0
Администратор-охранник (м.Московская),40000.0
Администратор-охранник (магазин),40000.0
Администратор-охранник в Бизнес-Центр,27000.0
Администратор-охранник в офисное здание,36000.0
Администратор-охранник в рестораны ТОКИО-CITY,40000.0
Администратор-охранник в рестораны Токио-City,40000.0
Администратор-охранник в торговый центр Галактика,33000.0
Администратор-охранник торгового зала,23000.0
Администратор/Контролёр КПП,30000.0
Администратор/вахтер,22000.0
Адъютант - охранник,120000.0
Аналитик / Ведущий аналитик по информационной безопасности,
Аналитик DLP [id81942],
Аналитик бизнес-процессов (специалист),
Аналитик киберугроз,
Аналитик отдела службы безопасности,60000.0
Аналитик по безопасности,43000.0
Аналитик по безопасности (SOC),
"Аналитик по безопасности (ст. м. Московская/пр. Космонавтов, д. 45)",43600.0
Аналитик по безопасности / Контролер,43600.0
Аналитик по безопасности/Контролёр,43000.0
Аналитик по безопасность (Купчино),43600.0
Аналитик по противодействию мошенничеству,
Аналитик по экономическому контролю,40000.0
Аналитик службы безопасности,48300.0
Аналитик службы безопасности (ст. метро Бухарестская),38000.0
Аналитик службы безопасности/менеджер СБ,44700.0
