name,salary.to
Cпециалист 1 разряда отдела антимонопольного контроля Управления Федеральной антимонопольной службы,27000.0
HR менеджер (старший специалист по кадрам) ПОДБОР,
Senior Consultant to Strategy & Operations Consulting to Government & Public group,
Senior Manager/Manager to Strategy & Operations Consulting - Government & Public Sector (G&PS),
Агент по продаже недвижимости,300000.0
Администратор в МФЦ,32000.0
Библиотекарь,30000.0
Ведущий агроном в отдел карантина растений фитосанитарной испытательной лаборатории,
Ведущий аналитик отдела градостроительной политики в Управлении,
Ведущий аналитик отдела инвестиций в Управлении,
Ведущий инженер (газотермические покрытия),85000.0
Ведущий инженер-конструктор,
Ведущий инженер-проектировщик (сети газоснабжения и газораспределения),
Ведущий инженер-разработчик,
Ведущий специалист,32500.0
Ведущий специалист - эксперт в отдел установления пенсий с учетом специального стажа,40000.0
Ведущий специалист / психолог,29000.0
Ведущий специалист МФЦ (Колтуши),40000.0
Ведущий специалист МФЦ (Кудрово),40000.0
Ведущий специалист МФЦ (Ломоносов),40000.0
Ведущий специалист МФЦ (Сертолово),40000.0
Ведущий специалист МФЦ (администратор на ресепшен),37000.0
"Ведущий специалист отдела ""Мурино"" филиала ГБУ ЛО ""МФЦ"" ""Всеволожский""",40000.0
Ведущий специалист отдела приема заявителей,
Ведущий специалист по гражданской обороне и чрезвычайным ситуациям,41000.0
Ведущий специалист/консультант,30000.0
Ведущий специалист/методист,28000.0
Ведущий эксперт дорожного хозяйства,
Водитель,35000.0
Водитель (прапорщик),55000.0
Водитель - сотрудник гаража,
Водитель ВНГ,98000.0
Водитель автомобиля,38000.0
Водитель в Управление федеральной службы войск национальной гвардии,65000.0
Водитель категории С (военнослужащий по контракту) в МЧС России,60000.0
Водитель на спецавтомобиль,75000.0
Водитель погрузчика (прапорщик),55000.0
Водитель пожарного автомобиля,40000.0
Водитель служебного автотранспорта/Сотрудник охраны режимных объектов,50000.0
Водитель сотрудник,30000.0
Водитель-полицейский,75000.0
Водитель-сотрудник,40000.0
Военнослужащий,120000.0
Военнослужащий (Чеченская Республика),100000.0
Военнослужащий по контракт,60000.0
Военнослужащий по контракту,60000.0
"Военнослужащий по контракту (12 ГУ Минестерства Обороны, Мурманская область)",70000.0
"Военнослужащий по контракту (12 ГУ Министерства обороны, Мурманская обл.)",70000.0
Военнослужащий по контракту (Брянская область),70000.0
"Военнослужащий по контракту (Дмитровский р-он, Московская область)",48000.0
Военнослужащий по контракту (Министерство обороны Российской Федерации),35000.0
Военнослужащий по контракту (Пограничная служба),110000.0
