name,salary.to
AppSec Engineer Mobile Apps (Android/iOS),
Application security/ Безопасность приложений,
Backend-developer (Java),
Cпециалист отдела охраны труда и промышленной безопасности,
Cпециалист отдела по предотвращению внештатных ситуаций (ПВС),
Cпециалист отдела по работе с исполнительным производством,32000.0
Cпециалист по охране труда в Службу производственного контроля и охраны труда,27700.0
Cпециалист по охране труда и пожарной безопасности,
Cпециалист по промышленной безопасности и охране труда,
Cторож-дворник,
Cудебный пристав по обеспечению установленного порядка деятельности судов,
EHS Менеджер / Руководитель отдела ПБиОТ,170000.0
Fraud Monitoring Specialist,
HARD- специалист дистанционного сбора просроченной задолженности,
HSE coordinator / Специалист по ОТ и ПБ,90000.0
Lead data scientist (Антифрод),
Product Manager (Разработка ПО в сфере Информационной Безопасности),
Senior Property Protection Specialist,
Senior System Analyst,
Solution architect,
Technical Safety Engineer / Technical Safety Senior Engineer,
Агент (в сфере образования),
Агент выездного взыскания по работе с залоговым портфелем и сопровождению ИП,
Агент выездного взыскания просроченной задолженности (Hard Collection),
Агент службы режима строительного центра,
Адвокат (уголовные дела экономической направленности),
Администратор,18000.0
Администратор (c обязанностями охранника),
Администратор (Дом Швеции),
Администратор (Оператор видеонаблюдения),28000.0
Администратор (отдел охраны),
Администратор (охранник),40000.0
Администратор (охранник) в супермаркет,22000.0
Администратор (служба безопасности офиса),
"Администратор - контролер на парковку (охрана, ТЦ ""Дирижабль"")",25000.0
Администратор / Охранник,
Администратор SIEM\SOAR,
Администратор Службы администраторов / Администратор КПП,45000.0
"Администратор в ТРЦ ""Ривьера"" (внутренняя служба безопасности)",23750.0
Администратор в службу безопасности,
Администратор зала/охранник,
Администратор магазина (Охранник),25000.0
"Администратор магазина / охранник (м. Пражская, ТЦ «Columbus»)",60000.0
Администратор объекта,25300.0
Администратор объекта (охранник),75000.0
"Администратор офиса, охранник офиса",40000.0
Администратор охраны,
Администратор паркинга (ст.м.Петроградская),42000.0
Администратор парковки,17000.0
Администратор по безопасности,55000.0
"Администратор по обеспечению сохранности магазина (м. Пражская, ТЦ «Columbus»)",60000.0
Администратор пропускного пункта / охранник (Красное село),38000.0
Администратор пропускного режима,
Администратор систем антивирусной защиты,
Администратор службы безопасности,
"Администратор службы режима (м-н ""Восток"" ул. Гагарина д.14)",
Администратор территории Службы администраторов,45000.0
Администратор торгового комплекса (сотрудник службы безопасности),
"Администратор-Контролер торгового зала, охранник (ТЦ FORT Ясенево)",
"Администратор-контролер (п.Ковалево,Всеволожский рай-он)",
Администратор-контролёр КПП,
Администратор-охранник,31260.0
"Администратор-охранник (К. Маркса, 90)",
Администратор-охранник (Колпино),
Администратор-охранник (Маяк),
Администратор-охранник (Меркурий),
Администратор-охранник (ТРЦ Галерея),
Администратор-охранник (ТЦ Атмосфера),
Администратор-охранник (ТЦ Галерея),
Администратор-охранник (ТЦ Европа-Сити),
Администратор-охранник (ТЦ ТРИУМФ),
Администратор-охранник (ЦУМ),35000.0
Администратор-охранник (Южный парк),
Администратор-охранник (м.Бухарестская),
Администратор-охранник (м.Московская),
Администратор-охранник (магазин),
Администратор-охранник в Бизнес-Центр,30000.0
Администратор-охранник в офисное здание,80000.0
Администратор-охранник в рестораны ТОКИО-CITY,
Администратор-охранник в рестораны Токио-City,
Администратор-охранник в торговый центр Галактика,
Администратор-охранник торгового зала,
Администратор/Контролёр КПП,34000.0
Администратор/вахтер,25000.0
Адъютант - охранник,150000.0
Аналитик / Ведущий аналитик по информационной безопасности,
Аналитик DLP [id81942],
Аналитик бизнес-процессов (специалист),
Аналитик киберугроз,
Аналитик отдела службы безопасности,
Аналитик по безопасности,52000.0
Аналитик по безопасности (SOC),
"Аналитик по безопасности (ст. м. Московская/пр. Космонавтов, д. 45)",43600.0
Аналитик по безопасности / Контролер,
Аналитик по безопасности/Контролёр,47000.0
Аналитик по безопасность (Купчино),
Аналитик по противодействию мошенничеству,
Аналитик по экономическому контролю,50000.0
Аналитик службы безопасности,43600.0
Аналитик службы безопасности (ст. метро Бухарестская),44900.0
Аналитик службы безопасности/менеджер СБ,53300.0
Аналитик экономической безопасности,150000.0
Аналитик-ревизор,40000.0
Аудитор (внутренний контролер),
Аудитор информационной безопасности/Пентестер,
Аудитор по ОТиПБ,
Багажист,
Боец ОМОН,80000.0
Боец ОМОН ЗУБР ЦСН СР Росгвардии,60000.0
