,vacancy.region.name
Свердловская область,24
Кировская область,11
Республика Коми,8
Приморский край,7
Республика Саха (Якутия),4
Тверская область,3
Калининградская область,3
Нижегородская область,3
Сахалинская область,3
г. Москва,3
Краснодарский край,2
Саратовская область,2
Ярославская область,2
Калужская область,2
Ханты-Мансийский автономный округ - Югра,2
Республика Калмыкия,2
Хабаровский край,2
Республика Башкортостан,2
Самарская область,2
Удмуртская Республика,1
Иркутская область,1
Камчатский край,1
Красноярский край,1
Владимирская область,1
Волгоградская область,1
Ивановская область,1
Пермский край,1
Курганская область,1
Республика Крым,1
Ленинградская область,1
Республика Карелия,1
