,vacancy.company.name
"""ВОЕННЫЙ КОМИССАРИАТ СВЕРДЛОВСКОЙ ОБЛАСТИ""",21
"Федеральное казенное учреждение ""Военный комиссариат Кировской области""",11
ВОЕННЫЙ КОМИССАРИАТ РЕСПУБЛИКИ КОМИ,8
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ ПРИМОРСКОГО КРАЯ""",7
Войсковая часть 3275,3
Военный комиссариат Калининградской области,2
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ САХАЛИНСКОЙ ОБЛАСТИ""",2
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ КРАСНОДАРСКОГО КРАЯ""",2
ФКУ Военный комиссариат,2
Отдел Военного комиссариата Республики Саха (Якутия) по Хангаласскому улусу,2
"Военный комиссариат Дзержинского района  Калужской области,муниципальный",2
Областной военкомат,2
"ФЕДЕРАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""ВОЕННЫЙ КОМИССАРИАТ ХАБАРОВСКОГО КРАЯ""",2
"ВОЕННЫЙ КОМИССАРИАТ ДУВАНСКОГО,МЕЧЕТЛИНСКОГО И САЛАВАТСКОГО РАЙОНОВ РЕСПУБЛИКИ БАШКОРТОСТАН",2
"Военный комиссариат (объединенный, Новомосковского и Троицкого административным округам города Москвы)",2
"ВОЕННЫЙ КОМИССАРИАТ ГОРОДА МИРНЫЙ, МИРНИНСКОГО, АНАБАРСКОГО И ОЛЕНЕКСКОГО УЛУСОВ РЕСПУБЛИКИ САХА (ЯКУТИЯ)",2
"ФЕДЕРАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""СЛЕДСТВЕННЫЙ ИЗОЛЯТОР № 1 УПРАВЛЕНИЯ ФЕДЕРАЛЬНОЙ СЛУЖБЫ ИСПОЛНЕНИЯ НАКАЗАНИЙ ПО УДМУРТСКОЙ РЕСПУБЛИКЕ""",1
Военный комиссариат Волгоградской области (Военный комиссариат Котовского и Даниловского районов),1
"Федеральное казенное учреждение ""Военный комиссариат Камчатского края""",1
Военный комиссариат Красноярского края,1
Управление Росгвардии по Иркутской области,1
УПРАВЛЕНИЕ РОСГВАРДИИ ПО САРАТОВСКОЙ ОБЛАСТИ,1
Военный комиссариат Самарской области,1
САРАТОВСКИЙ ВОЕННЫЙ КРАСНОЗНАМЕННЫЙ ИНСТИТУТ ВОЙСК НАЦИОНАЛЬНОЙ ГВАРДИ,1
Администрация Кемского муниципального района Республики Карелия,1
"Отряд пограничного контроля ""ПОВОЛЖЬЕ""",1
"Военный комиссариат города Удомля, Удомельского и Лесного районов",1
"ФКУЗ ""МСЧ МВД России по Тверской области""",1
Военный комиссариат Ивановской области,1
Военный комиссариат Республики Калмыкия,1
Управление Федеральной службы войск национальной гвардии Российской Федерации Владимирской области (Управление Росгвардии по Владимирской области),1
"ВОЕННЫЙ КОМИССАРИАТ г.РОСТОВ,БОРИСОГЛЕБСКОГО и РОСТОВСКОГО районов Ярославской области",1
"Военный комиссариат города Кстово,Кстовского и Дальнеконстантиновского районов  Нижегородской области",1
Военный комиссариат Ярославской области,1
Военный комиссариат города Добрянка Пермского края,1
2067,1
"ФГУП ""НТЦ оборонного комплекса ""Компас""",1
Военный комиссариат Вышневолоцкого городского округа и Фировского района Тверской области,1
"АНО ""КУРТАМЫШСКИЙ АТСК ""ОБЕРОН-КЛУБ"" ДОСААФ РОССИИ""",1
"ФКУ ""ВОЕННЫЙ КОМИССАРИАТ РЕСПУБЛИКИ КРЫМ""",1
ВОЙСКОВАЯ ЧАСТЬ 6944,1
"КУ РК ""ЦЗН ЯШКУЛЬСКОГО РАЙОНА""",1
"АДМИНИСТРАЦИЯ МО ""СГО""",1
